"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"11.11.2023 04:00 - 11.11.2023 04:15","8833","8642"
"11.11.2023 04:15 - 11.11.2023 04:30","8862","8686"
"11.11.2023 04:30 - 11.11.2023 04:45","8890","8741"
"11.11.2023 04:45 - 11.11.2023 05:00","8932","8652"
"11.11.2023 05:00 - 11.11.2023 05:15","9001","8821"
"11.11.2023 05:15 - 11.11.2023 05:30","9050","8845"
"11.11.2023 05:30 - 11.11.2023 05:45","9088","8838"
"11.11.2023 05:45 - 11.11.2023 06:00","9120","8886"
"11.11.2023 06:00 - 11.11.2023 06:15","9140","8937"
"11.11.2023 06:15 - 11.11.2023 06:30","9169","9009"
"11.11.2023 06:30 - 11.11.2023 06:45","9201","9095"
"11.11.2023 06:45 - 11.11.2023 07:00","9235","9092"
"11.11.2023 07:00 - 11.11.2023 07:15","9274","9077"
"11.11.2023 07:15 - 11.11.2023 07:30","9307","9120"
"11.11.2023 07:30 - 11.11.2023 07:45","9336","9152"
"11.11.2023 07:45 - 11.11.2023 08:00","9360","9186"
"11.11.2023 08:00 - 11.11.2023 08:15","9374","9257"
"11.11.2023 08:15 - 11.11.2023 08:30","9399","9384"
"11.11.2023 08:30 - 11.11.2023 08:45","9428","9404"
"11.11.2023 08:45 - 11.11.2023 09:00","9466","9440"
"11.11.2023 09:00 - 11.11.2023 09:15","9521","9470"
"11.11.2023 09:15 - 11.11.2023 09:30","9557","9596"
"11.11.2023 09:30 - 11.11.2023 09:45","9581","9629"
"11.11.2023 09:45 - 11.11.2023 10:00","9599","9644"
"11.11.2023 10:00 - 11.11.2023 10:15","9602","9653"
"11.11.2023 10:15 - 11.11.2023 10:30","9614","9672"
"11.11.2023 10:30 - 11.11.2023 10:45","9629","9698"
"11.11.2023 10:45 - 11.11.2023 11:00","9644","9715"
"11.11.2023 11:00 - 11.11.2023 11:15","9662","9720"
"11.11.2023 11:15 - 11.11.2023 11:30","9675","9697"
"11.11.2023 11:30 - 11.11.2023 11:45","9683","9755"
"11.11.2023 11:45 - 11.11.2023 12:00","9687","9762"
"11.11.2023 12:00 - 11.11.2023 12:15","9683","9727"
"11.11.2023 12:15 - 11.11.2023 12:30","9685","9657"
"11.11.2023 12:30 - 11.11.2023 12:45","9694","9741"
"11.11.2023 12:45 - 11.11.2023 13:00","9697","9651"
"11.11.2023 13:00 - 11.11.2023 13:15","9692","9636"
"11.11.2023 13:15 - 11.11.2023 13:30","9704","9654"
"11.11.2023 13:30 - 11.11.2023 13:45","9730","9717"
"11.11.2023 13:45 - 11.11.2023 14:00","9761","9700"
"11.11.2023 14:00 - 11.11.2023 14:15","9798","9805"
"11.11.2023 14:15 - 11.11.2023 14:30","9846","9787"
"11.11.2023 14:30 - 11.11.2023 14:45","9899","9954"
"11.11.2023 14:45 - 11.11.2023 15:00","9973","9985"
"11.11.2023 15:00 - 11.11.2023 15:15","10082","10134"
"11.11.2023 15:15 - 11.11.2023 15:30","10157","10211"
"11.11.2023 15:30 - 11.11.2023 15:45","10211","10378"
"11.11.2023 15:45 - 11.11.2023 16:00","10261","10354"
"11.11.2023 16:00 - 11.11.2023 16:15","10305","10311"
"11.11.2023 16:15 - 11.11.2023 16:30","10338","10318"
"11.11.2023 16:30 - 11.11.2023 16:45","10361","10385"
"11.11.2023 16:45 - 11.11.2023 17:00","10362","10356"
"11.11.2023 17:00 - 11.11.2023 17:15","10362","10351"
"11.11.2023 17:15 - 11.11.2023 17:30","10361","10435"
"11.11.2023 17:30 - 11.11.2023 17:45","10353","10408"
"11.11.2023 17:45 - 11.11.2023 18:00","10344","10416"
"11.11.2023 18:00 - 11.11.2023 18:15","10337","10382"
"11.11.2023 18:15 - 11.11.2023 18:30","10309","10391"
"11.11.2023 18:30 - 11.11.2023 18:45","10265","10295"
"11.11.2023 18:45 - 11.11.2023 19:00","10207","10237"
"11.11.2023 19:00 - 11.11.2023 19:15","10128","10145"
"11.11.2023 19:15 - 11.11.2023 19:30","10051","10120"
"11.11.2023 19:30 - 11.11.2023 19:45","9981","10138"
"11.11.2023 19:45 - 11.11.2023 20:00","9875","9973"
"11.11.2023 20:00 - 11.11.2023 20:15","9707","9872"
"11.11.2023 20:15 - 11.11.2023 20:30","9625","9746"
"11.11.2023 20:30 - 11.11.2023 20:45","9591","9584"
"11.11.2023 20:45 - 11.11.2023 21:00","9612","9571"
"11.11.2023 21:00 - 11.11.2023 21:15","9734","9698"
"11.11.2023 21:15 - 11.11.2023 21:30","9771","9718"
"11.11.2023 21:30 - 11.11.2023 21:45","9759","9795"
"11.11.2023 21:45 - 11.11.2023 22:00","9742","9737"
"11.11.2023 22:00 - 11.11.2023 22:15","9705","9738"
"11.11.2023 22:15 - 11.11.2023 22:30","9661","9682"
"11.11.2023 22:30 - 11.11.2023 22:45","9614","9531"
"11.11.2023 22:45 - 11.11.2023 23:00","9530","9361"
"11.11.2023 23:00 - 11.11.2023 23:15","9386","9348"
"11.11.2023 23:15 - 11.11.2023 23:30","9310","9351"
"11.11.2023 23:30 - 11.11.2023 23:45","9278","9218"
"11.11.2023 23:45 - 12.11.2023 00:00","9258","9103"
"12.11.2023 00:00 - 12.11.2023 00:15","9113","9020"
"12.11.2023 00:15 - 12.11.2023 00:30","9104","9029"
"12.11.2023 00:30 - 12.11.2023 00:45","9089","8944"
"12.11.2023 00:45 - 12.11.2023 01:00","9057","8893"
"12.11.2023 01:00 - 12.11.2023 01:15","8996","8787"
"12.11.2023 01:15 - 12.11.2023 01:30","8958","8791"
"12.11.2023 01:30 - 12.11.2023 01:45","8933","8845"
"12.11.2023 01:45 - 12.11.2023 02:00","8906","8796"
"12.11.2023 02:00 - 12.11.2023 02:15","8879","8733"
"12.11.2023 02:15 - 12.11.2023 02:30","8861","8706"
"12.11.2023 02:30 - 12.11.2023 02:45","8850","8711"
"12.11.2023 02:45 - 12.11.2023 03:00","8845","8737"
"12.11.2023 03:00 - 12.11.2023 03:15","8848","8725"
"12.11.2023 03:15 - 12.11.2023 03:30","8853","8740"
"12.11.2023 03:30 - 12.11.2023 03:45","8862","8730"
"12.11.2023 03:45 - 12.11.2023 04:00","8875","8746"
"12.11.2023 04:00 - 12.11.2023 04:15","8892","8767"
"12.11.2023 04:15 - 12.11.2023 04:30","8915","8775"
"12.11.2023 04:30 - 12.11.2023 04:45","8935","8763"
"12.11.2023 04:45 - 12.11.2023 05:00","8968","8840"
"12.11.2023 05:00 - 12.11.2023 05:15","9024","8821"
"12.11.2023 05:15 - 12.11.2023 05:30","9062","8873"
"12.11.2023 05:30 - 12.11.2023 05:45","9090","9004"
"12.11.2023 05:45 - 12.11.2023 06:00","9111","9040"
"12.11.2023 06:00 - 12.11.2023 06:15","9120","8968"
"12.11.2023 06:15 - 12.11.2023 06:30","9138","9060"
"12.11.2023 06:30 - 12.11.2023 06:45","9163","9142"
"12.11.2023 06:45 - 12.11.2023 07:00","9186","9225"
"12.11.2023 07:00 - 12.11.2023 07:15","9206","9212"
"12.11.2023 07:15 - 12.11.2023 07:30","9234","9253"
"12.11.2023 07:30 - 12.11.2023 07:45","9267","9279"
"12.11.2023 07:45 - 12.11.2023 08:00","9306","9336"
"12.11.2023 08:00 - 12.11.2023 08:15","9354","9390"
"12.11.2023 08:15 - 12.11.2023 08:30","9398","9490"
"12.11.2023 08:30 - 12.11.2023 08:45","9438","9518"
"12.11.2023 08:45 - 12.11.2023 09:00","9482","9591"
"12.11.2023 09:00 - 12.11.2023 09:15","9532","9696"
"12.11.2023 09:15 - 12.11.2023 09:30","9573","9678"
"12.11.2023 09:30 - 12.11.2023 09:45","9609","9762"
"12.11.2023 09:45 - 12.11.2023 10:00","9644","9869"
"12.11.2023 10:00 - 12.11.2023 10:15","9680","9850"
"12.11.2023 10:15 - 12.11.2023 10:30","9707","9934"
"12.11.2023 10:30 - 12.11.2023 10:45","9728","9890"
"12.11.2023 10:45 - 12.11.2023 11:00","9741","9888"
"12.11.2023 11:00 - 12.11.2023 11:15","9743","9869"
"12.11.2023 11:15 - 12.11.2023 11:30","9749","9854"
"12.11.2023 11:30 - 12.11.2023 11:45","9754","9883"
"12.11.2023 11:45 - 12.11.2023 12:00","9755","9778"
"12.11.2023 12:00 - 12.11.2023 12:15","9750","9791"
"12.11.2023 12:15 - 12.11.2023 12:30","9749","9775"
"12.11.2023 12:30 - 12.11.2023 12:45","9751","9773"
"12.11.2023 12:45 - 12.11.2023 13:00","9749","9737"
"12.11.2023 13:00 - 12.11.2023 13:15","9741","9724"
"12.11.2023 13:15 - 12.11.2023 13:30","9743","9813"
"12.11.2023 13:30 - 12.11.2023 13:45","9754","9828"
"12.11.2023 13:45 - 12.11.2023 14:00","9763","9771"
"12.11.2023 14:00 - 12.11.2023 14:15","9770","9796"
"12.11.2023 14:15 - 12.11.2023 14:30","9792","9834"
"12.11.2023 14:30 - 12.11.2023 14:45","9824","9822"
"12.11.2023 14:45 - 12.11.2023 15:00","9873","9886"
"12.11.2023 15:00 - 12.11.2023 15:15","9950","10056"
"12.11.2023 15:15 - 12.11.2023 15:30","10004","10148"
"12.11.2023 15:30 - 12.11.2023 15:45","10045","10188"
"12.11.2023 15:45 - 12.11.2023 16:00","10088","10192"
"12.11.2023 16:00 - 12.11.2023 16:15","10133","10233"
"12.11.2023 16:15 - 12.11.2023 16:30","10165","10240"
"12.11.2023 16:30 - 12.11.2023 16:45","10187","10288"
"12.11.2023 16:45 - 12.11.2023 17:00","10212","10280"
"12.11.2023 17:00 - 12.11.2023 17:15","10215","10258"
"12.11.2023 17:15 - 12.11.2023 17:30","10219","10384"
"12.11.2023 17:30 - 12.11.2023 17:45","10219","10291"
"12.11.2023 17:45 - 12.11.2023 18:00","10220","10337"
"12.11.2023 18:00 - 12.11.2023 18:15","10224","10277"
"12.11.2023 18:15 - 12.11.2023 18:30","10211","10267"
"12.11.2023 18:30 - 12.11.2023 18:45","10186","10332"
"12.11.2023 18:45 - 12.11.2023 19:00","10150","10242"
"12.11.2023 19:00 - 12.11.2023 19:15","10102","10175"
"12.11.2023 19:15 - 12.11.2023 19:30","10052","10177"
"12.11.2023 19:30 - 12.11.2023 19:45","10005","10064"
"12.11.2023 19:45 - 12.11.2023 20:00","9926","10059"
"12.11.2023 20:00 - 12.11.2023 20:15","9791","9913"
"12.11.2023 20:15 - 12.11.2023 20:30","9732","9904"
"12.11.2023 20:30 - 12.11.2023 20:45","9715","9776"
"12.11.2023 20:45 - 12.11.2023 21:00","9748","9667"
"12.11.2023 21:00 - 12.11.2023 21:15","9871","9856"
"12.11.2023 21:15 - 12.11.2023 21:30","9916","9939"
"12.11.2023 21:30 - 12.11.2023 21:45","9915","10004"
"12.11.2023 21:45 - 12.11.2023 22:00","9906","10059"
"12.11.2023 22:00 - 12.11.2023 22:15","9873","10034"
"12.11.2023 22:15 - 12.11.2023 22:30","9839","9892"
"12.11.2023 22:30 - 12.11.2023 22:45","9806","9818"
"12.11.2023 22:45 - 12.11.2023 23:00","9744","9705"
"12.11.2023 23:00 - 12.11.2023 23:15","9635","9710"
"12.11.2023 23:15 - 12.11.2023 23:30","9578","9597"
"12.11.2023 23:30 - 12.11.2023 23:45","9555","9538"
"12.11.2023 23:45 - 13.11.2023 00:00","9540","9477"
"13.11.2023 00:00 - 13.11.2023 00:15","9420","9394"
"13.11.2023 00:15 - 13.11.2023 00:30","9411","9348"
"13.11.2023 00:30 - 13.11.2023 00:45","9396","9238"
"13.11.2023 00:45 - 13.11.2023 01:00","9360","9224"
"13.11.2023 01:00 - 13.11.2023 01:15","9290","9194"
"13.11.2023 01:15 - 13.11.2023 01:30","9252","9118"
"13.11.2023 01:30 - 13.11.2023 01:45","9232","9044"
"13.11.2023 01:45 - 13.11.2023 02:00","9214","9053"
"13.11.2023 02:00 - 13.11.2023 02:15","9202","9113"
"13.11.2023 02:15 - 13.11.2023 02:30","9199","9032"
"13.11.2023 02:30 - 13.11.2023 02:45","9205","9050"
"13.11.2023 02:45 - 13.11.2023 03:00","9218","9006"
"13.11.2023 03:00 - 13.11.2023 03:15","9234","9070"
"13.11.2023 03:15 - 13.11.2023 03:30","9265","9141"
"13.11.2023 03:30 - 13.11.2023 03:45","9312","9169"
"13.11.2023 03:45 - 13.11.2023 04:00","9360","9184"
"13.11.2023 04:00 - 13.11.2023 04:15","9401","9254"
"13.11.2023 04:15 - 13.11.2023 04:30","9483","9404"
"13.11.2023 04:30 - 13.11.2023 04:45","9589","9445"
"13.11.2023 04:45 - 13.11.2023 05:00","9737","9601"
"13.11.2023 05:00 - 13.11.2023 05:15","9967","9920"
"13.11.2023 05:15 - 13.11.2023 05:30","10130","10120"
"13.11.2023 05:30 - 13.11.2023 05:45","10247","10305"
"13.11.2023 05:45 - 13.11.2023 06:00","10362","10453"
"13.11.2023 06:00 - 13.11.2023 06:15","10466","10387"
"13.11.2023 06:15 - 13.11.2023 06:30","10546","10487"
"13.11.2023 06:30 - 13.11.2023 06:45","10610","10679"
"13.11.2023 06:45 - 13.11.2023 07:00","10645","10738"
"13.11.2023 07:00 - 13.11.2023 07:15","10640","10671"
"13.11.2023 07:15 - 13.11.2023 07:30","10653","10640"
"13.11.2023 07:30 - 13.11.2023 07:45","10673","10650"
"13.11.2023 07:45 - 13.11.2023 08:00","10684","10702"
"13.11.2023 08:00 - 13.11.2023 08:15","10686","10713"
"13.11.2023 08:15 - 13.11.2023 08:30","10691","10657"
"13.11.2023 08:30 - 13.11.2023 08:45","10699","10690"
"13.11.2023 08:45 - 13.11.2023 09:00","10702","10664"
"13.11.2023 09:00 - 13.11.2023 09:15","10699","10639"
"13.11.2023 09:15 - 13.11.2023 09:30","10703","10604"
"13.11.2023 09:30 - 13.11.2023 09:45","10711","10654"
"13.11.2023 09:45 - 13.11.2023 10:00","10723","10663"
"13.11.2023 10:00 - 13.11.2023 10:15","10744","10601"
"13.11.2023 10:15 - 13.11.2023 10:30","10755","10729"
"13.11.2023 10:30 - 13.11.2023 10:45","10760","10730"
"13.11.2023 10:45 - 13.11.2023 11:00","10761","10780"
"13.11.2023 11:00 - 13.11.2023 11:15","10757","10673"
"13.11.2023 11:15 - 13.11.2023 11:30","10755","10842"
"13.11.2023 11:30 - 13.11.2023 11:45","10752","10798"
"13.11.2023 11:45 - 13.11.2023 12:00","10748","10789"
"13.11.2023 12:00 - 13.11.2023 12:15","10745","10680"
"13.11.2023 12:15 - 13.11.2023 12:30","10737","10763"
"13.11.2023 12:30 - 13.11.2023 12:45","10729","10647"
"13.11.2023 12:45 - 13.11.2023 13:00","10711","10696"
"13.11.2023 13:00 - 13.11.2023 13:15","10679","10608"
"13.11.2023 13:15 - 13.11.2023 13:30","10666","10668"
"13.11.2023 13:30 - 13.11.2023 13:45","10665","10657"
"13.11.2023 13:45 - 13.11.2023 14:00","10668","10707"
"13.11.2023 14:00 - 13.11.2023 14:15","10677","10691"
"13.11.2023 14:15 - 13.11.2023 14:30","10692","10719"
"13.11.2023 14:30 - 13.11.2023 14:45","10710","10717"
"13.11.2023 14:45 - 13.11.2023 15:00","10742","10791"
"13.11.2023 15:00 - 13.11.2023 15:15","10797","10822"
"13.11.2023 15:15 - 13.11.2023 15:30","10830","11011"
"13.11.2023 15:30 - 13.11.2023 15:45","10849","11069"
"13.11.2023 15:45 - 13.11.2023 16:00","10868","11086"
"13.11.2023 16:00 - 13.11.2023 16:15","10884","11079"
"13.11.2023 16:15 - 13.11.2023 16:30","10891","11094"
"13.11.2023 16:30 - 13.11.2023 16:45","10891","11030"
"13.11.2023 16:45 - 13.11.2023 17:00","10888","11006"
"13.11.2023 17:00 - 13.11.2023 17:15","10857","10949"
"13.11.2023 17:15 - 13.11.2023 17:30","10840","10955"
"13.11.2023 17:30 - 13.11.2023 17:45","10829","10973"
"13.11.2023 17:45 - 13.11.2023 18:00","10825","10937"
"13.11.2023 18:00 - 13.11.2023 18:15","10838","10914"
"13.11.2023 18:15 - 13.11.2023 18:30","10830","10981"
"13.11.2023 18:30 - 13.11.2023 18:45","10805","10924"
"13.11.2023 18:45 - 13.11.2023 19:00","10779","10874"
"13.11.2023 19:00 - 13.11.2023 19:15","10751","10759"
"13.11.2023 19:15 - 13.11.2023 19:30","10706","10776"
"13.11.2023 19:30 - 13.11.2023 19:45","10655","10669"
"13.11.2023 19:45 - 13.11.2023 20:00","10565","10544"
"13.11.2023 20:00 - 13.11.2023 20:15","10406","10630"
"13.11.2023 20:15 - 13.11.2023 20:30","10330","10562"
"13.11.2023 20:30 - 13.11.2023 20:45","10298","10414"
"13.11.2023 20:45 - 13.11.2023 21:00","10316","10305"
"13.11.2023 21:00 - 13.11.2023 21:15","10424","10518"
"13.11.2023 21:15 - 13.11.2023 21:30","10450","10558"
"13.11.2023 21:30 - 13.11.2023 21:45","10428","10594"
"13.11.2023 21:45 - 13.11.2023 22:00","10394","10528"
"13.11.2023 22:00 - 13.11.2023 22:15","10329","10636"
"13.11.2023 22:15 - 13.11.2023 22:30","10269","10520"
"13.11.2023 22:30 - 13.11.2023 22:45","10214","10383"
"13.11.2023 22:45 - 13.11.2023 23:00","10126","10205"
"13.11.2023 23:00 - 13.11.2023 23:15","9986","10178"
"13.11.2023 23:15 - 13.11.2023 23:30","9910","10062"
"13.11.2023 23:30 - 13.11.2023 23:45","9876","9977"
"13.11.2023 23:45 - 14.11.2023 00:00","9856","9902"
"14.11.2023 00:00 - 14.11.2023 00:15","9686","9934"
"14.11.2023 00:15 - 14.11.2023 00:30","9678","9804"
"14.11.2023 00:30 - 14.11.2023 00:45","9665","9748"
"14.11.2023 00:45 - 14.11.2023 01:00","9636","9796"
"14.11.2023 01:00 - 14.11.2023 01:15","9584","9711"
"14.11.2023 01:15 - 14.11.2023 01:30","9550","9736"
"14.11.2023 01:30 - 14.11.2023 01:45","9527","9605"
"14.11.2023 01:45 - 14.11.2023 02:00","9499","9598"
"14.11.2023 02:00 - 14.11.2023 02:15","9460","9612"
"14.11.2023 02:15 - 14.11.2023 02:30","9444","9560"
"14.11.2023 02:30 - 14.11.2023 02:45","9444","9523"
"14.11.2023 02:45 - 14.11.2023 03:00","9452","9493"
"14.11.2023 03:00 - 14.11.2023 03:15","9469","9542"
"14.11.2023 03:15 - 14.11.2023 03:30","9497","9567"
"14.11.2023 03:30 - 14.11.2023 03:45","9541","9636"
"14.11.2023 03:45 - 14.11.2023 04:00","9584","9616"
"14.11.2023 04:00 - 14.11.2023 04:15","9619","9775"
"14.11.2023 04:15 - 14.11.2023 04:30","9698","9802"
"14.11.2023 04:30 - 14.11.2023 04:45","9797","9919"
"14.11.2023 04:45 - 14.11.2023 05:00","9949","10010"
"14.11.2023 05:00 - 14.11.2023 05:15","10186","10101"
"14.11.2023 05:15 - 14.11.2023 05:30","10348","10379"
"14.11.2023 05:30 - 14.11.2023 05:45","10464","10519"
"14.11.2023 05:45 - 14.11.2023 06:00","10578","10675"
"14.11.2023 06:00 - 14.11.2023 06:15","10681","10673"
"14.11.2023 06:15 - 14.11.2023 06:30","10760","10684"
"14.11.2023 06:30 - 14.11.2023 06:45","10822","10818"
"14.11.2023 06:45 - 14.11.2023 07:00","10856","10826"
"14.11.2023 07:00 - 14.11.2023 07:15","10853","10764"
"14.11.2023 07:15 - 14.11.2023 07:30","10862","10795"
"14.11.2023 07:30 - 14.11.2023 07:45","10875","10852"
"14.11.2023 07:45 - 14.11.2023 08:00","10874","10778"
"14.11.2023 08:00 - 14.11.2023 08:15","10853","10803"
"14.11.2023 08:15 - 14.11.2023 08:30","10846","10823"
"14.11.2023 08:30 - 14.11.2023 08:45","10846","10802"
"14.11.2023 08:45 - 14.11.2023 09:00","10846","10770"
"14.11.2023 09:00 - 14.11.2023 09:15","10851","10745"
"14.11.2023 09:15 - 14.11.2023 09:30","10851","10795"
"14.11.2023 09:30 - 14.11.2023 09:45","10850","10835"
"14.11.2023 09:45 - 14.11.2023 10:00","10848","10805"
"14.11.2023 10:00 - 14.11.2023 10:15","10842","10879"
"14.11.2023 10:15 - 14.11.2023 10:30","10840","10814"
"14.11.2023 10:30 - 14.11.2023 10:45","10838","10884"
"14.11.2023 10:45 - 14.11.2023 11:00","10839","10902"
"14.11.2023 11:00 - 14.11.2023 11:15","10844","10896"
"14.11.2023 11:15 - 14.11.2023 11:30","10844","10841"
"14.11.2023 11:30 - 14.11.2023 11:45","10840","10797"
"14.11.2023 11:45 - 14.11.2023 12:00","10832","10867"
"14.11.2023 12:00 - 14.11.2023 12:15","10819","10839"
"14.11.2023 12:15 - 14.11.2023 12:30","10811","10807"
"14.11.2023 12:30 - 14.11.2023 12:45","10806","10715"
"14.11.2023 12:45 - 14.11.2023 13:00","10798","10741"
"14.11.2023 13:00 - 14.11.2023 13:15","10784","10748"
"14.11.2023 13:15 - 14.11.2023 13:30","10782","10777"
"14.11.2023 13:30 - 14.11.2023 13:45","10788","10751"
"14.11.2023 13:45 - 14.11.2023 14:00","10796","10758"
"14.11.2023 14:00 - 14.11.2023 14:15","10802","10779"
"14.11.2023 14:15 - 14.11.2023 14:30","10823","10745"
"14.11.2023 14:30 - 14.11.2023 14:45","10850","10821"
"14.11.2023 14:45 - 14.11.2023 15:00","10898","10865"
"14.11.2023 15:00 - 14.11.2023 15:15","10980","10893"
"14.11.2023 15:15 - 14.11.2023 15:30","11028","11022"
"14.11.2023 15:30 - 14.11.2023 15:45","11056","11120"
"14.11.2023 15:45 - 14.11.2023 16:00","11076","11119"
"14.11.2023 16:00 - 14.11.2023 16:15","11082","11062"
"14.11.2023 16:15 - 14.11.2023 16:30","11089","11108"
"14.11.2023 16:30 - 14.11.2023 16:45","11103","11025"
"14.11.2023 16:45 - 14.11.2023 17:00","11086","11061"
"14.11.2023 17:00 - 14.11.2023 17:15","11068","11028"
"14.11.2023 17:15 - 14.11.2023 17:30","11060","11010"
"14.11.2023 17:30 - 14.11.2023 17:45","11057","11067"
"14.11.2023 17:45 - 14.11.2023 18:00","11061","11029"
"14.11.2023 18:00 - 14.11.2023 18:15","11084","11063"
"14.11.2023 18:15 - 14.11.2023 18:30","11081","11067"
"14.11.2023 18:30 - 14.11.2023 18:45","11059","10994"
"14.11.2023 18:45 - 14.11.2023 19:00","11034","11052"
"14.11.2023 19:00 - 14.11.2023 19:15","11006","10940"
"14.11.2023 19:15 - 14.11.2023 19:30","10959","10877"
"14.11.2023 19:30 - 14.11.2023 19:45","10904","10857"
"14.11.2023 19:45 - 14.11.2023 20:00","10808","10734"
"14.11.2023 20:00 - 14.11.2023 20:15","10638","10739"
"14.11.2023 20:15 - 14.11.2023 20:30","10554","10580"
"14.11.2023 20:30 - 14.11.2023 20:45","10516","10417"
"14.11.2023 20:45 - 14.11.2023 21:00","10526","10353"
"14.11.2023 21:00 - 14.11.2023 21:15","10628","10537"
"14.11.2023 21:15 - 14.11.2023 21:30","10648","10670"
"14.11.2023 21:30 - 14.11.2023 21:45","10621","10615"
"14.11.2023 21:45 - 14.11.2023 22:00","10584","10540"
"14.11.2023 22:00 - 14.11.2023 22:15","10521","10547"
"14.11.2023 22:15 - 14.11.2023 22:30","10457","10489"
"14.11.2023 22:30 - 14.11.2023 22:45","10395","10323"
"14.11.2023 22:45 - 14.11.2023 23:00","10295","10165"
"14.11.2023 23:00 - 14.11.2023 23:15","10135","10242"
"14.11.2023 23:15 - 14.11.2023 23:30","10048","10215"
"14.11.2023 23:30 - 14.11.2023 23:45","10010","10149"
"14.11.2023 23:45 - 15.11.2023 00:00","9986","10021"
"15.11.2023 00:00 - 15.11.2023 00:15","9643","9925"
"15.11.2023 00:15 - 15.11.2023 00:30","9637","9908"
"15.11.2023 00:30 - 15.11.2023 00:45","9627","9731"
"15.11.2023 00:45 - 15.11.2023 01:00","9604","9673"
"15.11.2023 01:00 - 15.11.2023 01:15","9562","9667"
"15.11.2023 01:15 - 15.11.2023 01:30","9536","9665"
"15.11.2023 01:30 - 15.11.2023 01:45","9521","9593"
"15.11.2023 01:45 - 15.11.2023 02:00","9503","9624"
"15.11.2023 02:00 - 15.11.2023 02:15","9482","9579"
"15.11.2023 02:15 - 15.11.2023 02:30","9474","9570"
"15.11.2023 02:30 - 15.11.2023 02:45","9479","9525"
"15.11.2023 02:45 - 15.11.2023 03:00","9487","9622"
"15.11.2023 03:00 - 15.11.2023 03:15","9495","9630"
"15.11.2023 03:15 - 15.11.2023 03:30","9522","9615"
"15.11.2023 03:30 - 15.11.2023 03:45","9567","9626"
"15.11.2023 03:45 - 15.11.2023 04:00","9614","9599"
"15.11.2023 04:00 - 15.11.2023 04:15","9653","9733"
"15.11.2023 04:15 - 15.11.2023 04:30","9736","9783"
"15.11.2023 04:30 - 15.11.2023 04:45","9859","9876"
"15.11.2023 04:45 - 15.11.2023 05:00","10015","10002"
"15.11.2023 05:00 - 15.11.2023 05:15","10259","10281"
"15.11.2023 05:15 - 15.11.2023 05:30","10429","10460"
"15.11.2023 05:30 - 15.11.2023 05:45","10554","10628"
"15.11.2023 05:45 - 15.11.2023 06:00","10680","10816"
"15.11.2023 06:00 - 15.11.2023 06:15","10803","10830"
"15.11.2023 06:15 - 15.11.2023 06:30","10893","10853"
"15.11.2023 06:30 - 15.11.2023 06:45","10960","10923"
"15.11.2023 06:45 - 15.11.2023 07:00","10996","11026"
"15.11.2023 07:00 - 15.11.2023 07:15","10987","11036"
"15.11.2023 07:15 - 15.11.2023 07:30","10995","11025"
"15.11.2023 07:30 - 15.11.2023 07:45","11010","10990"
"15.11.2023 07:45 - 15.11.2023 08:00","11010","10919"
"15.11.2023 08:00 - 15.11.2023 08:15","10991","10986"
"15.11.2023 08:15 - 15.11.2023 08:30","10985","10998"
"15.11.2023 08:30 - 15.11.2023 08:45","10986","10988"
"15.11.2023 08:45 - 15.11.2023 09:00","10986","10978"
"15.11.2023 09:00 - 15.11.2023 09:15","10988","10952"
"15.11.2023 09:15 - 15.11.2023 09:30","10990","11015"
"15.11.2023 09:30 - 15.11.2023 09:45","10993","11026"
"15.11.2023 09:45 - 15.11.2023 10:00","10998","10989"
"15.11.2023 10:00 - 15.11.2023 10:15","11010","11038"
"15.11.2023 10:15 - 15.11.2023 10:30","11014","11035"
"15.11.2023 10:30 - 15.11.2023 10:45","11015","11005"
"15.11.2023 10:45 - 15.11.2023 11:00","11015","11048"
"15.11.2023 11:00 - 15.11.2023 11:15","11013","11056"
"15.11.2023 11:15 - 15.11.2023 11:30","11008","11061"
"15.11.2023 11:30 - 15.11.2023 11:45","11002","11023"
"15.11.2023 11:45 - 15.11.2023 12:00","10991","11011"
"15.11.2023 12:00 - 15.11.2023 12:15","10971","11016"
"15.11.2023 12:15 - 15.11.2023 12:30","10960","10985"
"15.11.2023 12:30 - 15.11.2023 12:45","10955","10964"
"15.11.2023 12:45 - 15.11.2023 13:00","10948","11001"
"15.11.2023 13:00 - 15.11.2023 13:15","10939","10878"
"15.11.2023 13:15 - 15.11.2023 13:30","10940","10842"
"15.11.2023 13:30 - 15.11.2023 13:45","10950","10873"
"15.11.2023 13:45 - 15.11.2023 14:00","10963","10868"
"15.11.2023 14:00 - 15.11.2023 14:15","10978","10955"
"15.11.2023 14:15 - 15.11.2023 14:30","11004","10950"
"15.11.2023 14:30 - 15.11.2023 14:45","11034","10926"
"15.11.2023 14:45 - 15.11.2023 15:00","11085","11028"
"15.11.2023 15:00 - 15.11.2023 15:15","11168","11096"
"15.11.2023 15:15 - 15.11.2023 15:30","11217","11212"
"15.11.2023 15:30 - 15.11.2023 15:45","11246","11179"
"15.11.2023 15:45 - 15.11.2023 16:00","11266","11149"
"15.11.2023 16:00 - 15.11.2023 16:15","11272","11229"
"15.11.2023 16:15 - 15.11.2023 16:30","11278","11202"
"15.11.2023 16:30 - 15.11.2023 16:45","11303","11211"
