"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.04.2023 18:45 - 04.04.2023 19:00","61925","58671"
"04.04.2023 19:00 - 04.04.2023 19:15","62075","58962"
"04.04.2023 19:15 - 04.04.2023 19:30","61850","59162"
"04.04.2023 19:30 - 04.04.2023 19:45","61896","59583"
"04.04.2023 19:45 - 04.04.2023 20:00","61696","59550"
"04.04.2023 20:00 - 04.04.2023 20:15","61362","59615"
"04.04.2023 20:15 - 04.04.2023 20:30","60909","59418"
"04.04.2023 20:30 - 04.04.2023 20:45","60298","58892"
"04.04.2023 20:45 - 04.04.2023 21:00","59554","58059"
"04.04.2023 21:00 - 04.04.2023 21:15","58930","57361"
"04.04.2023 21:15 - 04.04.2023 21:30","58216","56379"
"04.04.2023 21:30 - 04.04.2023 21:45","57371","55618"
"04.04.2023 21:45 - 04.04.2023 22:00","56421","54947"
"04.04.2023 22:00 - 04.04.2023 22:15","56093","54607"
"04.04.2023 22:15 - 04.04.2023 22:30","55522","53602"
"04.04.2023 22:30 - 04.04.2023 22:45","54771","52671"
"04.04.2023 22:45 - 04.04.2023 23:00","53965","51858"
"04.04.2023 23:00 - 04.04.2023 23:15","52953","50960"
"04.04.2023 23:15 - 04.04.2023 23:30","52055","50158"
"04.04.2023 23:30 - 04.04.2023 23:45","51408","49347"
"04.04.2023 23:45 - 05.04.2023 00:00","50537","48700"
"05.04.2023 00:00 - 05.04.2023 00:15","49086","47929"
"05.04.2023 00:15 - 05.04.2023 00:30","48437","47522"
"05.04.2023 00:30 - 05.04.2023 00:45","48053","47095"
"05.04.2023 00:45 - 05.04.2023 01:00","47583","46838"
"05.04.2023 01:00 - 05.04.2023 01:15","47146","46498"
"05.04.2023 01:15 - 05.04.2023 01:30","46818","46267"
"05.04.2023 01:30 - 05.04.2023 01:45","46628","45748"
"05.04.2023 01:45 - 05.04.2023 02:00","46462","45224"
"05.04.2023 02:00 - 05.04.2023 02:15","46217","44831"
"05.04.2023 02:15 - 05.04.2023 02:30","46119","44907"
"05.04.2023 02:30 - 05.04.2023 02:45","46214","44943"
"05.04.2023 02:45 - 05.04.2023 03:00","46212","44913"
"05.04.2023 03:00 - 05.04.2023 03:15","46415","45352"
"05.04.2023 03:15 - 05.04.2023 03:30","46496","45558"
"05.04.2023 03:30 - 05.04.2023 03:45","46525","45612"
"05.04.2023 03:45 - 05.04.2023 04:00","46570","45754"
"05.04.2023 04:00 - 05.04.2023 04:15","47043","46160"
"05.04.2023 04:15 - 05.04.2023 04:30","47331","45986"
"05.04.2023 04:30 - 05.04.2023 04:45","47730","46573"
"05.04.2023 04:45 - 05.04.2023 05:00","48211","47141"
"05.04.2023 05:00 - 05.04.2023 05:15","49254","48612"
"05.04.2023 05:15 - 05.04.2023 05:30","49695","49167"
"05.04.2023 05:30 - 05.04.2023 05:45","50694","49856"
"05.04.2023 05:45 - 05.04.2023 06:00","51738","51178"
"05.04.2023 06:00 - 05.04.2023 06:15","53779","53396"
"05.04.2023 06:15 - 05.04.2023 06:30","55434","54716"
"05.04.2023 06:30 - 05.04.2023 06:45","56628","55600"
"05.04.2023 06:45 - 05.04.2023 07:00","57511","56676"
"05.04.2023 07:00 - 05.04.2023 07:15","58537","58245"
"05.04.2023 07:15 - 05.04.2023 07:30","59574","59411"
"05.04.2023 07:30 - 05.04.2023 07:45","60408","60085"
"05.04.2023 07:45 - 05.04.2023 08:00","61128","60464"
"05.04.2023 08:00 - 05.04.2023 08:15","61777","60804"
"05.04.2023 08:15 - 05.04.2023 08:30","62440","61279"
"05.04.2023 08:30 - 05.04.2023 08:45","62640","61562"
"05.04.2023 08:45 - 05.04.2023 09:00","62730","61903"
"05.04.2023 09:00 - 05.04.2023 09:15","62646","61840"
"05.04.2023 09:15 - 05.04.2023 09:30","62789","61590"
"05.04.2023 09:30 - 05.04.2023 09:45","63199","61809"
"05.04.2023 09:45 - 05.04.2023 10:00","63400","62001"
"05.04.2023 10:00 - 05.04.2023 10:15","63766","62034"
"05.04.2023 10:15 - 05.04.2023 10:30","63916","61976"
"05.04.2023 10:30 - 05.04.2023 10:45","64115","62228"
"05.04.2023 10:45 - 05.04.2023 11:00","64197","62294"
"05.04.2023 11:00 - 05.04.2023 11:15","64346","62183"
"05.04.2023 11:15 - 05.04.2023 11:30","64380","61867"
"05.04.2023 11:30 - 05.04.2023 11:45","64351","61975"
"05.04.2023 11:45 - 05.04.2023 12:00","64191","61681"
"05.04.2023 12:00 - 05.04.2023 12:15","64095","61184"
"05.04.2023 12:15 - 05.04.2023 12:30","63861","60649"
"05.04.2023 12:30 - 05.04.2023 12:45","63871","60503"
"05.04.2023 12:45 - 05.04.2023 13:00","63719","59970"
"05.04.2023 13:00 - 05.04.2023 13:15","63552","59496"
"05.04.2023 13:15 - 05.04.2023 13:30","63231","58922"
"05.04.2023 13:30 - 05.04.2023 13:45","62683","58854"
"05.04.2023 13:45 - 05.04.2023 14:00","61879","57901"
"05.04.2023 14:00 - 05.04.2023 14:15","61543","57577"
"05.04.2023 14:15 - 05.04.2023 14:30","61381","57410"
"05.04.2023 14:30 - 05.04.2023 14:45","61115","56677"
"05.04.2023 14:45 - 05.04.2023 15:00","60661","56763"
"05.04.2023 15:00 - 05.04.2023 15:15","60523","57084"
"05.04.2023 15:15 - 05.04.2023 15:30","60133","56755"
"05.04.2023 15:30 - 05.04.2023 15:45","59695","56726"
"05.04.2023 15:45 - 05.04.2023 16:00","59384","56796"
"05.04.2023 16:00 - 05.04.2023 16:15","59088","56634"
"05.04.2023 16:15 - 05.04.2023 16:30","58846","55931"
"05.04.2023 16:30 - 05.04.2023 16:45","58663","55317"
"05.04.2023 16:45 - 05.04.2023 17:00","58792","55472"
"05.04.2023 17:00 - 05.04.2023 17:15","59255","55844"
"05.04.2023 17:15 - 05.04.2023 17:30","59409","55851"
"05.04.2023 17:30 - 05.04.2023 17:45","59735","55676"
"05.04.2023 17:45 - 05.04.2023 18:00","59946","56064"
"05.04.2023 18:00 - 05.04.2023 18:15","59908","56309"
"05.04.2023 18:15 - 05.04.2023 18:30","59904","56651"
"05.04.2023 18:30 - 05.04.2023 18:45","60003","57521"
"05.04.2023 18:45 - 05.04.2023 19:00","60347","57448"
"05.04.2023 19:00 - 05.04.2023 19:15","60656","58190"
"05.04.2023 19:15 - 05.04.2023 19:30","60535","58041"
"05.04.2023 19:30 - 05.04.2023 19:45","60551","58584"
"05.04.2023 19:45 - 05.04.2023 20:00","60387","59162"
"05.04.2023 20:00 - 05.04.2023 20:15","59948","59125"
"05.04.2023 20:15 - 05.04.2023 20:30","59536","58787"
"05.04.2023 20:30 - 05.04.2023 20:45","59093","58311"
"05.04.2023 20:45 - 05.04.2023 21:00","58442","57306"
"05.04.2023 21:00 - 05.04.2023 21:15","57817","56551"
"05.04.2023 21:15 - 05.04.2023 21:30","57133","55588"
"05.04.2023 21:30 - 05.04.2023 21:45","56196","54775"
"05.04.2023 21:45 - 05.04.2023 22:00","55482","53961"
"05.04.2023 22:00 - 05.04.2023 22:15","55038","53774"
"05.04.2023 22:15 - 05.04.2023 22:30","54438","53244"
"05.04.2023 22:30 - 05.04.2023 22:45","53388","52516"
"05.04.2023 22:45 - 05.04.2023 23:00","52392","51866"
"05.04.2023 23:00 - 05.04.2023 23:15","51497","50862"
"05.04.2023 23:15 - 05.04.2023 23:30","50650","50178"
"05.04.2023 23:30 - 05.04.2023 23:45","50012","49214"
"05.04.2023 23:45 - 06.04.2023 00:00","49425","48775"
"06.04.2023 00:00 - 06.04.2023 00:15","48928","48094"
"06.04.2023 00:15 - 06.04.2023 00:30","48437","47393"
"06.04.2023 00:30 - 06.04.2023 00:45","47977","47031"
"06.04.2023 00:45 - 06.04.2023 01:00","47525","46591"
"06.04.2023 01:00 - 06.04.2023 01:15","47116","45879"
"06.04.2023 01:15 - 06.04.2023 01:30","46763","45669"
"06.04.2023 01:30 - 06.04.2023 01:45","46585","45810"
"06.04.2023 01:45 - 06.04.2023 02:00","46399","45663"
"06.04.2023 02:00 - 06.04.2023 02:15","46130","45117"
"06.04.2023 02:15 - 06.04.2023 02:30","45971","45056"
"06.04.2023 02:30 - 06.04.2023 02:45","46006","45200"
"06.04.2023 02:45 - 06.04.2023 03:00","46068","44552"
"06.04.2023 03:00 - 06.04.2023 03:15","46242","44601"
"06.04.2023 03:15 - 06.04.2023 03:30","46356","44726"
"06.04.2023 03:30 - 06.04.2023 03:45","46469","44775"
"06.04.2023 03:45 - 06.04.2023 04:00","46615","44985"
"06.04.2023 04:00 - 06.04.2023 04:15","46999","45289"
"06.04.2023 04:15 - 06.04.2023 04:30","47012","45724"
"06.04.2023 04:30 - 06.04.2023 04:45","47488","46819"
"06.04.2023 04:45 - 06.04.2023 05:00","48029","47334"
"06.04.2023 05:00 - 06.04.2023 05:15","49123","48255"
"06.04.2023 05:15 - 06.04.2023 05:30","49712","49147"
"06.04.2023 05:30 - 06.04.2023 05:45","50549","49953"
"06.04.2023 05:45 - 06.04.2023 06:00","51646","51030"
"06.04.2023 06:00 - 06.04.2023 06:15","53598","52983"
"06.04.2023 06:15 - 06.04.2023 06:30","55112","54385"
"06.04.2023 06:30 - 06.04.2023 06:45","56314","55012"
"06.04.2023 06:45 - 06.04.2023 07:00","57394","55717"
"06.04.2023 07:00 - 06.04.2023 07:15","58495","56903"
"06.04.2023 07:15 - 06.04.2023 07:30","59379","57782"
"06.04.2023 07:30 - 06.04.2023 07:45","60246","58462"
"06.04.2023 07:45 - 06.04.2023 08:00","60937","58634"
"06.04.2023 08:00 - 06.04.2023 08:15","61606","59550"
"06.04.2023 08:15 - 06.04.2023 08:30","62135","60454"
"06.04.2023 08:30 - 06.04.2023 08:45","62424","60723"
"06.04.2023 08:45 - 06.04.2023 09:00","62559","60705"
"06.04.2023 09:00 - 06.04.2023 09:15","62508","60903"
"06.04.2023 09:15 - 06.04.2023 09:30","62915","60917"
"06.04.2023 09:30 - 06.04.2023 09:45","63146","60584"
"06.04.2023 09:45 - 06.04.2023 10:00","63440","60675"
"06.04.2023 10:00 - 06.04.2023 10:15","63967","60550"
"06.04.2023 10:15 - 06.04.2023 10:30","64067","59988"
"06.04.2023 10:30 - 06.04.2023 10:45","64199","60450"
"06.04.2023 10:45 - 06.04.2023 11:00","64259","60663"
"06.04.2023 11:00 - 06.04.2023 11:15","64326","60648"
"06.04.2023 11:15 - 06.04.2023 11:30","64464","60612"
"06.04.2023 11:30 - 06.04.2023 11:45","64707","60408"
"06.04.2023 11:45 - 06.04.2023 12:00","64605","60374"
"06.04.2023 12:00 - 06.04.2023 12:15","64390","60007"
"06.04.2023 12:15 - 06.04.2023 12:30","64237","59758"
"06.04.2023 12:30 - 06.04.2023 12:45","64431","59800"
"06.04.2023 12:45 - 06.04.2023 13:00","64474","59572"
"06.04.2023 13:00 - 06.04.2023 13:15","64213","59153"
"06.04.2023 13:15 - 06.04.2023 13:30","63894","58702"
"06.04.2023 13:30 - 06.04.2023 13:45","63597","58158"
"06.04.2023 13:45 - 06.04.2023 14:00","62980","57631"
"06.04.2023 14:00 - 06.04.2023 14:15","62576","57162"
"06.04.2023 14:15 - 06.04.2023 14:30","62162","56973"
"06.04.2023 14:30 - 06.04.2023 14:45","61788","57127"
"06.04.2023 14:45 - 06.04.2023 15:00","61763","57047"
"06.04.2023 15:00 - 06.04.2023 15:15","61404","57131"
"06.04.2023 15:15 - 06.04.2023 15:30","60921","56746"
"06.04.2023 15:30 - 06.04.2023 15:45","60283","56290"
"06.04.2023 15:45 - 06.04.2023 16:00","59742","56136"
"06.04.2023 16:00 - 06.04.2023 16:15","59671","56715"
"06.04.2023 16:15 - 06.04.2023 16:30","59525","56515"
"06.04.2023 16:30 - 06.04.2023 16:45","59356","56582"
"06.04.2023 16:45 - 06.04.2023 17:00","59373","56518"
"06.04.2023 17:00 - 06.04.2023 17:15","59660","56424"
"06.04.2023 17:15 - 06.04.2023 17:30","59862","56515"
"06.04.2023 17:30 - 06.04.2023 17:45","60138","56796"
"06.04.2023 17:45 - 06.04.2023 18:00","60274","57098"
"06.04.2023 18:00 - 06.04.2023 18:15","60254","56515"
"06.04.2023 18:15 - 06.04.2023 18:30","60204","56975"
"06.04.2023 18:30 - 06.04.2023 18:45","60370","57196"
"06.04.2023 18:45 - 06.04.2023 19:00","60460","57332"
"06.04.2023 19:00 - 06.04.2023 19:15","60649","57549"
"06.04.2023 19:15 - 06.04.2023 19:30","60542","57583"
"06.04.2023 19:30 - 06.04.2023 19:45","60478","57661"
"06.04.2023 19:45 - 06.04.2023 20:00","60197","57039"
"06.04.2023 20:00 - 06.04.2023 20:15","60116","56883"
"06.04.2023 20:15 - 06.04.2023 20:30","59666","56194"
"06.04.2023 20:30 - 06.04.2023 20:45","59091","55696"
"06.04.2023 20:45 - 06.04.2023 21:00","58530","55212"
"06.04.2023 21:00 - 06.04.2023 21:15","57935","55039"
"06.04.2023 21:15 - 06.04.2023 21:30","57192","54325"
"06.04.2023 21:30 - 06.04.2023 21:45","56298","53553"
"06.04.2023 21:45 - 06.04.2023 22:00","55547","52710"
"06.04.2023 22:00 - 06.04.2023 22:15","55224","52552"
"06.04.2023 22:15 - 06.04.2023 22:30","54512","51621"
"06.04.2023 22:30 - 06.04.2023 22:45","53574","50724"
"06.04.2023 22:45 - 06.04.2023 23:00","52577","49495"
"06.04.2023 23:00 - 06.04.2023 23:15","51726","48583"
"06.04.2023 23:15 - 06.04.2023 23:30","50934","47590"
"06.04.2023 23:30 - 06.04.2023 23:45","50245","46697"
"06.04.2023 23:45 - 07.04.2023 00:00","49586","45980"
"07.04.2023 00:00 - 07.04.2023 00:15","43250","45281"
"07.04.2023 00:15 - 07.04.2023 00:30","42611","44740"
"07.04.2023 00:30 - 07.04.2023 00:45","42211","44055"
"07.04.2023 00:45 - 07.04.2023 01:00","41692","43347"
"07.04.2023 01:00 - 07.04.2023 01:15","41154","42533"
"07.04.2023 01:15 - 07.04.2023 01:30","40785","41991"
"07.04.2023 01:30 - 07.04.2023 01:45","40470","41680"
"07.04.2023 01:45 - 07.04.2023 02:00","40298","41219"
"07.04.2023 02:00 - 07.04.2023 02:15","40163","40803"
"07.04.2023 02:15 - 07.04.2023 02:30","40083","40586"
"07.04.2023 02:30 - 07.04.2023 02:45","39989","40534"
"07.04.2023 02:45 - 07.04.2023 03:00","39900","40387"
"07.04.2023 03:00 - 07.04.2023 03:15","39891","40474"
"07.04.2023 03:15 - 07.04.2023 03:30","39886","40384"
"07.04.2023 03:30 - 07.04.2023 03:45","39947","40248"
"07.04.2023 03:45 - 07.04.2023 04:00","39870","40157"
"07.04.2023 04:00 - 07.04.2023 04:15","39985","40507"
"07.04.2023 04:15 - 07.04.2023 04:30","40028","40288"
"07.04.2023 04:30 - 07.04.2023 04:45","40108","40299"
"07.04.2023 04:45 - 07.04.2023 05:00","40294","40279"
"07.04.2023 05:00 - 07.04.2023 05:15","40394","40141"
"07.04.2023 05:15 - 07.04.2023 05:30","40267","39958"
"07.04.2023 05:30 - 07.04.2023 05:45","40216","39760"
"07.04.2023 05:45 - 07.04.2023 06:00","40017","39698"
"07.04.2023 06:00 - 07.04.2023 06:15","39946","39628"
"07.04.2023 06:15 - 07.04.2023 06:30","40053","39586"
"07.04.2023 06:30 - 07.04.2023 06:45","40416","39755"
"07.04.2023 06:45 - 07.04.2023 07:00","40579","40184"
"07.04.2023 07:00 - 07.04.2023 07:15","41017","40878"
"07.04.2023 07:15 - 07.04.2023 07:30","41599","40930"
"07.04.2023 07:30 - 07.04.2023 07:45","42388","41559"
"07.04.2023 07:45 - 07.04.2023 08:00","42911","42328"
"07.04.2023 08:00 - 07.04.2023 08:15","43614","43428"
"07.04.2023 08:15 - 07.04.2023 08:30","44282","43970"
"07.04.2023 08:30 - 07.04.2023 08:45","44954","44889"
"07.04.2023 08:45 - 07.04.2023 09:00","45759","45386"
"07.04.2023 09:00 - 07.04.2023 09:15","46506","46052"
"07.04.2023 09:15 - 07.04.2023 09:30","47255","46463"
"07.04.2023 09:30 - 07.04.2023 09:45","47611","46829"
"07.04.2023 09:45 - 07.04.2023 10:00","48173","47611"
"07.04.2023 10:00 - 07.04.2023 10:15","48942","48162"
"07.04.2023 10:15 - 07.04.2023 10:30","49405","48490"
"07.04.2023 10:30 - 07.04.2023 10:45","49811","48505"
"07.04.2023 10:45 - 07.04.2023 11:00","50156","48975"
"07.04.2023 11:00 - 07.04.2023 11:15","50578","49289"
"07.04.2023 11:15 - 07.04.2023 11:30","51222","50238"
"07.04.2023 11:30 - 07.04.2023 11:45","51571","50938"
"07.04.2023 11:45 - 07.04.2023 12:00","51535","51543"
"07.04.2023 12:00 - 07.04.2023 12:15","51354","51583"
"07.04.2023 12:15 - 07.04.2023 12:30","51399","51159"
"07.04.2023 12:30 - 07.04.2023 12:45","51095","50530"
"07.04.2023 12:45 - 07.04.2023 13:00","50662","50287"
"07.04.2023 13:00 - 07.04.2023 13:15","50336","49297"
"07.04.2023 13:15 - 07.04.2023 13:30","49849","48286"
"07.04.2023 13:30 - 07.04.2023 13:45","49472","48023"
"07.04.2023 13:45 - 07.04.2023 14:00","48862","47371"
"07.04.2023 14:00 - 07.04.2023 14:15","48353","46972"
"07.04.2023 14:15 - 07.04.2023 14:30","47991","46609"
"07.04.2023 14:30 - 07.04.2023 14:45","47913","46321"
"07.04.2023 14:45 - 07.04.2023 15:00","47537","45940"
"07.04.2023 15:00 - 07.04.2023 15:15","47545","45945"
"07.04.2023 15:15 - 07.04.2023 15:30","47404","45702"
"07.04.2023 15:30 - 07.04.2023 15:45","47162","45590"
"07.04.2023 15:45 - 07.04.2023 16:00","47145","45437"
"07.04.2023 16:00 - 07.04.2023 16:15","46743","45245"
"07.04.2023 16:15 - 07.04.2023 16:30","46728","45126"
"07.04.2023 16:30 - 07.04.2023 16:45","46703","45559"
"07.04.2023 16:45 - 07.04.2023 17:00","47013","45932"
"07.04.2023 17:00 - 07.04.2023 17:15","47218","46336"
"07.04.2023 17:15 - 07.04.2023 17:30","47512","46652"
"07.04.2023 17:30 - 07.04.2023 17:45","47677","47061"
"07.04.2023 17:45 - 07.04.2023 18:00","47848","47671"
"07.04.2023 18:00 - 07.04.2023 18:15","47986","48566"
"07.04.2023 18:15 - 07.04.2023 18:30","48035","48801"
"07.04.2023 18:30 - 07.04.2023 18:45","48244","48846"
"07.04.2023 18:45 - 07.04.2023 19:00","48364","48946"
"07.04.2023 19:00 - 07.04.2023 19:15","48717","49689"
"07.04.2023 19:15 - 07.04.2023 19:30","48639","49712"
"07.04.2023 19:30 - 07.04.2023 19:45","48810","49839"
"07.04.2023 19:45 - 07.04.2023 20:00","48639","49861"
"07.04.2023 20:00 - 07.04.2023 20:15","48568","49682"
"07.04.2023 20:15 - 07.04.2023 20:30","48362","49561"
"07.04.2023 20:30 - 07.04.2023 20:45","48117","49237"
"07.04.2023 20:45 - 07.04.2023 21:00","47751","48766"
"07.04.2023 21:00 - 07.04.2023 21:15","47550","48355"
"07.04.2023 21:15 - 07.04.2023 21:30","47255","48037"
"07.04.2023 21:30 - 07.04.2023 21:45","46708","47517"
"07.04.2023 21:45 - 07.04.2023 22:00","46283","46871"
"07.04.2023 22:00 - 07.04.2023 22:15","46379","46924"
"07.04.2023 22:15 - 07.04.2023 22:30","45975","46294"
"07.04.2023 22:30 - 07.04.2023 22:45","45346","45598"
"07.04.2023 22:45 - 07.04.2023 23:00","44791","44886"
"07.04.2023 23:00 - 07.04.2023 23:15","44307","44756"
"07.04.2023 23:15 - 07.04.2023 23:30","43732","44245"
"07.04.2023 23:30 - 07.04.2023 23:45","43074","43376"
"07.04.2023 23:45 - 08.04.2023 00:00","42436","42518"
"08.04.2023 00:00 - 08.04.2023 00:15","44542","42276"
"08.04.2023 00:15 - 08.04.2023 00:30","44017","41652"
"08.04.2023 00:30 - 08.04.2023 00:45","43417","40961"
"08.04.2023 00:45 - 08.04.2023 01:00","43130","40259"
"08.04.2023 01:00 - 08.04.2023 01:15","42648","39663"
"08.04.2023 01:15 - 08.04.2023 01:30","42348","39135"
"08.04.2023 01:30 - 08.04.2023 01:45","42080","38641"
"08.04.2023 01:45 - 08.04.2023 02:00","41814","38309"
"08.04.2023 02:00 - 08.04.2023 02:15","41683","38059"
"08.04.2023 02:15 - 08.04.2023 02:30","41492","37687"
"08.04.2023 02:30 - 08.04.2023 02:45","41355","37454"
"08.04.2023 02:45 - 08.04.2023 03:00","41218","37374"
"08.04.2023 03:00 - 08.04.2023 03:15","41258","37576"
"08.04.2023 03:15 - 08.04.2023 03:30","41244","37642"
"08.04.2023 03:30 - 08.04.2023 03:45","41234","37686"
"08.04.2023 03:45 - 08.04.2023 04:00","41203","37610"
"08.04.2023 04:00 - 08.04.2023 04:15","41488","37974"
"08.04.2023 04:15 - 08.04.2023 04:30","41538","38119"
"08.04.2023 04:30 - 08.04.2023 04:45","41677","38292"
"08.04.2023 04:45 - 08.04.2023 05:00","41927","38264"
"08.04.2023 05:00 - 08.04.2023 05:15","42061","38406"
"08.04.2023 05:15 - 08.04.2023 05:30","42041","38258"
"08.04.2023 05:30 - 08.04.2023 05:45","42175","38446"
"08.04.2023 05:45 - 08.04.2023 06:00","42270","38736"
"08.04.2023 06:00 - 08.04.2023 06:15","42693","39419"
"08.04.2023 06:15 - 08.04.2023 06:30","42982","39670"
"08.04.2023 06:30 - 08.04.2023 06:45","43220","39965"
"08.04.2023 06:45 - 08.04.2023 07:00","43554","39972"
"08.04.2023 07:00 - 08.04.2023 07:15","44011","40811"
"08.04.2023 07:15 - 08.04.2023 07:30","44657","41122"
"08.04.2023 07:30 - 08.04.2023 07:45","45496","41744"
"08.04.2023 07:45 - 08.04.2023 08:00","46345","42452"
"08.04.2023 08:00 - 08.04.2023 08:15","47309","43957"
"08.04.2023 08:15 - 08.04.2023 08:30","48223","44431"
"08.04.2023 08:30 - 08.04.2023 08:45","49191","45044"
"08.04.2023 08:45 - 08.04.2023 09:00","49994","45493"
"08.04.2023 09:00 - 08.04.2023 09:15","50667","46257"
"08.04.2023 09:15 - 08.04.2023 09:30","51170","46781"
"08.04.2023 09:30 - 08.04.2023 09:45","51776","47180"
"08.04.2023 09:45 - 08.04.2023 10:00","52309","47512"
"08.04.2023 10:00 - 08.04.2023 10:15","52867","47848"
"08.04.2023 10:15 - 08.04.2023 10:30","53317","48187"
"08.04.2023 10:30 - 08.04.2023 10:45","53637","48594"
"08.04.2023 10:45 - 08.04.2023 11:00","54003","48897"
"08.04.2023 11:00 - 08.04.2023 11:15","54395","49056"
"08.04.2023 11:15 - 08.04.2023 11:30","54727","49071"
"08.04.2023 11:30 - 08.04.2023 11:45","54800","49287"
"08.04.2023 11:45 - 08.04.2023 12:00","54672","48997"
"08.04.2023 12:00 - 08.04.2023 12:15","54363","48576"
"08.04.2023 12:15 - 08.04.2023 12:30","53888","48450"
"08.04.2023 12:30 - 08.04.2023 12:45","53588","48198"
"08.04.2023 12:45 - 08.04.2023 13:00","53232","48242"
"08.04.2023 13:00 - 08.04.2023 13:15","53035","47354"
"08.04.2023 13:15 - 08.04.2023 13:30","52466","47225"
"08.04.2023 13:30 - 08.04.2023 13:45","52228","47111"
"08.04.2023 13:45 - 08.04.2023 14:00","51825","46919"
"08.04.2023 14:00 - 08.04.2023 14:15","51508","46519"
"08.04.2023 14:15 - 08.04.2023 14:30","51188","46247"
"08.04.2023 14:30 - 08.04.2023 14:45","50993","46085"
"08.04.2023 14:45 - 08.04.2023 15:00","50684","45922"
"08.04.2023 15:00 - 08.04.2023 15:15","50481","46285"
"08.04.2023 15:15 - 08.04.2023 15:30","50394","45799"
"08.04.2023 15:30 - 08.04.2023 15:45","50309","45660"
"08.04.2023 15:45 - 08.04.2023 16:00","50010","45727"
"08.04.2023 16:00 - 08.04.2023 16:15","50022","45820"
"08.04.2023 16:15 - 08.04.2023 16:30","50075","45387"
"08.04.2023 16:30 - 08.04.2023 16:45","50021","45711"
"08.04.2023 16:45 - 08.04.2023 17:00","50132","45512"
"08.04.2023 17:00 - 08.04.2023 17:15","50571","45951"
"08.04.2023 17:15 - 08.04.2023 17:30","50760","46227"
"08.04.2023 17:30 - 08.04.2023 17:45","51171","46845"
"08.04.2023 17:45 - 08.04.2023 18:00","51220","47208"
"08.04.2023 18:00 - 08.04.2023 18:15","51628","47886"
"08.04.2023 18:15 - 08.04.2023 18:30","51484","47733"
"08.04.2023 18:30 - 08.04.2023 18:45","51416","47780"
"08.04.2023 18:45 - 08.04.2023 19:00","51282","47803"
"08.04.2023 19:00 - 08.04.2023 19:15","51600","48638"
"08.04.2023 19:15 - 08.04.2023 19:30","51438","48383"
"08.04.2023 19:30 - 08.04.2023 19:45","51386","48147"
"08.04.2023 19:45 - 08.04.2023 20:00","51036","47915"
"08.04.2023 20:00 - 08.04.2023 20:15","50700","47852"
"08.04.2023 20:15 - 08.04.2023 20:30","50057","47194"
"08.04.2023 20:30 - 08.04.2023 20:45","49761","46834"
"08.04.2023 20:45 - 08.04.2023 21:00","49263","46292"
"08.04.2023 21:00 - 08.04.2023 21:15","48920","45561"
"08.04.2023 21:15 - 08.04.2023 21:30","48437","44724"
"08.04.2023 21:30 - 08.04.2023 21:45","47896","44348"
"08.04.2023 21:45 - 08.04.2023 22:00","47452","43757"
"08.04.2023 22:00 - 08.04.2023 22:15","47504","43908"
"08.04.2023 22:15 - 08.04.2023 22:30","47049","43299"
"08.04.2023 22:30 - 08.04.2023 22:45","46320","42656"
"08.04.2023 22:45 - 08.04.2023 23:00","45727","42067"
"08.04.2023 23:00 - 08.04.2023 23:15","44939","41372"
"08.04.2023 23:15 - 08.04.2023 23:30","44485","40898"
"08.04.2023 23:30 - 08.04.2023 23:45","43881","40434"
"08.04.2023 23:45 - 09.04.2023 00:00","43331","40319"
"09.04.2023 00:00 - 09.04.2023 00:15","42612","39551"
"09.04.2023 00:15 - 09.04.2023 00:30","42053","38979"
"09.04.2023 00:30 - 09.04.2023 00:45","41533","38401"
"09.04.2023 00:45 - 09.04.2023 01:00","41009","37964"
"09.04.2023 01:00 - 09.04.2023 01:15","40658","37208"
"09.04.2023 01:15 - 09.04.2023 01:30","40261","36378"
"09.04.2023 01:30 - 09.04.2023 01:45","39923","35927"
"09.04.2023 01:45 - 09.04.2023 02:00","39531","35735"
"09.04.2023 02:00 - 09.04.2023 02:15","39249","35441"
"09.04.2023 02:15 - 09.04.2023 02:30","39080","35316"
"09.04.2023 02:30 - 09.04.2023 02:45","38792","35217"
"09.04.2023 02:45 - 09.04.2023 03:00","38644","35187"
"09.04.2023 03:00 - 09.04.2023 03:15","38678","35321"
"09.04.2023 03:15 - 09.04.2023 03:30","38781","35070"
"09.04.2023 03:30 - 09.04.2023 03:45","38697","35108"
"09.04.2023 03:45 - 09.04.2023 04:00","38732","35119"
"09.04.2023 04:00 - 09.04.2023 04:15","38861","35073"
"09.04.2023 04:15 - 09.04.2023 04:30","38831","35049"
"09.04.2023 04:30 - 09.04.2023 04:45","38831","35232"
"09.04.2023 04:45 - 09.04.2023 05:00","38949","35472"
"09.04.2023 05:00 - 09.04.2023 05:15","38907","35677"
"09.04.2023 05:15 - 09.04.2023 05:30","38761","35652"
"09.04.2023 05:30 - 09.04.2023 05:45","38596","35777"
"09.04.2023 05:45 - 09.04.2023 06:00","38327","35881"
"09.04.2023 06:00 - 09.04.2023 06:15","37616","35637"
"09.04.2023 06:15 - 09.04.2023 06:30","37434","35695"
"09.04.2023 06:30 - 09.04.2023 06:45","37306","35425"
"09.04.2023 06:45 - 09.04.2023 07:00","37221","35490"
"09.04.2023 07:00 - 09.04.2023 07:15","37497","35905"
"09.04.2023 07:15 - 09.04.2023 07:30","37873","36306"
