"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"03.01.2023 19:15 - 03.01.2023 19:30","7112","7790"
"03.01.2023 19:30 - 03.01.2023 19:45","7028","7673"
"03.01.2023 19:45 - 03.01.2023 20:00","6936","7558"
"03.01.2023 20:00 - 03.01.2023 20:15","6828","7412"
"03.01.2023 20:15 - 03.01.2023 20:30","6716","7251"
"03.01.2023 20:30 - 03.01.2023 20:45","6612","7139"
"03.01.2023 20:45 - 03.01.2023 21:00","6512","6966"
"03.01.2023 21:00 - 03.01.2023 21:15","6420","6818"
"03.01.2023 21:15 - 03.01.2023 21:30","6328","6702"
"03.01.2023 21:30 - 03.01.2023 21:45","6224","6586"
"03.01.2023 21:45 - 03.01.2023 22:00","6132","6512"
"03.01.2023 22:00 - 03.01.2023 22:15","6276","6692"
"03.01.2023 22:15 - 03.01.2023 22:30","6220","6647"
"03.01.2023 22:30 - 03.01.2023 22:45","6100","6487"
"03.01.2023 22:45 - 03.01.2023 23:00","6016","6365"
"03.01.2023 23:00 - 03.01.2023 23:15","5952","6293"
"03.01.2023 23:15 - 03.01.2023 23:30","5832","6120"
"03.01.2023 23:30 - 03.01.2023 23:45","5728","5975"
"03.01.2023 23:45 - 04.01.2023 00:00","5632","5881"
"04.01.2023 00:00 - 04.01.2023 00:15","6192","5885"
"04.01.2023 00:15 - 04.01.2023 00:30","6096","5761"
"04.01.2023 00:30 - 04.01.2023 00:45","5992","5699"
"04.01.2023 00:45 - 04.01.2023 01:00","5892","5580"
"04.01.2023 01:00 - 04.01.2023 01:15","5872","5600"
"04.01.2023 01:15 - 04.01.2023 01:30","5804","5552"
"04.01.2023 01:30 - 04.01.2023 01:45","5748","5497"
"04.01.2023 01:45 - 04.01.2023 02:00","5684","5470"
"04.01.2023 02:00 - 04.01.2023 02:15","5784","5466"
"04.01.2023 02:15 - 04.01.2023 02:30","5732","5414"
"04.01.2023 02:30 - 04.01.2023 02:45","5688","5357"
"04.01.2023 02:45 - 04.01.2023 03:00","5652","5333"
"04.01.2023 03:00 - 04.01.2023 03:15","5656","5337"
"04.01.2023 03:15 - 04.01.2023 03:30","5640","5309"
"04.01.2023 03:30 - 04.01.2023 03:45","5640","5337"
"04.01.2023 03:45 - 04.01.2023 04:00","5656","5328"
"04.01.2023 04:00 - 04.01.2023 04:15","5684","5370"
"04.01.2023 04:15 - 04.01.2023 04:30","5712","5425"
"04.01.2023 04:30 - 04.01.2023 04:45","5784","5490"
"04.01.2023 04:45 - 04.01.2023 05:00","5888","5588"
"04.01.2023 05:00 - 04.01.2023 05:15","6052","5813"
"04.01.2023 05:15 - 04.01.2023 05:30","6196","5960"
"04.01.2023 05:30 - 04.01.2023 05:45","6360","6082"
"04.01.2023 05:45 - 04.01.2023 06:00","6552","6266"
"04.01.2023 06:00 - 04.01.2023 06:15","6708","6494"
"04.01.2023 06:15 - 04.01.2023 06:30","6932","6724"
"04.01.2023 06:30 - 04.01.2023 06:45","7120","6926"
"04.01.2023 06:45 - 04.01.2023 07:00","7296","7058"
"04.01.2023 07:00 - 04.01.2023 07:15","7520","7283"
"04.01.2023 07:15 - 04.01.2023 07:30","7684","7455"
"04.01.2023 07:30 - 04.01.2023 07:45","7808","7615"
