"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"08.01.2022 21:00 - 08.01.2022 22:00","17","29","n/e","n/e","14111","14732"
"08.01.2022 22:00 - 08.01.2022 23:00","15","23","n/e","n/e","14375","14713"
"08.01.2022 23:00 - 09.01.2022 00:00","11","15","n/e","n/e","14633","15006"
"09.01.2022 00:00 - 09.01.2022 01:00","17","11","n/e","n/e","14902","15428"
"09.01.2022 01:00 - 09.01.2022 02:00","18","14","n/e","n/e","15101","15636"
"09.01.2022 02:00 - 09.01.2022 03:00","15","1","n/e","n/e","15379","15849"
"09.01.2022 03:00 - 09.01.2022 04:00","12","1","n/e","n/e","15603","15678"
"09.01.2022 04:00 - 09.01.2022 05:00","8","0","n/e","n/e","15653","15833"
"09.01.2022 05:00 - 09.01.2022 06:00","3","2","n/e","n/e","15615","16078"
"09.01.2022 06:00 - 09.01.2022 07:00","7","3","n/e","n/e","15520","15934"
"09.01.2022 07:00 - 09.01.2022 08:00","12","6","n/e","n/e","15457","15483"
"09.01.2022 08:00 - 09.01.2022 09:00","94","87","n/e","n/e","15471","15437"
"09.01.2022 09:00 - 09.01.2022 10:00","1721","1686","n/e","n/e","15419","14943"
"09.01.2022 10:00 - 09.01.2022 11:00","4135","4180","n/e","n/e","15333","14865"
"09.01.2022 11:00 - 09.01.2022 12:00","5771","5806","n/e","n/e","15295","14930"
"09.01.2022 12:00 - 09.01.2022 13:00","6439","6384","n/e","n/e","15551","15046"
"09.01.2022 13:00 - 09.01.2022 14:00","6751","6570","n/e","n/e","16016","16056"
"09.01.2022 14:00 - 09.01.2022 15:00","6549","6487","n/e","n/e","16353","16614"
"09.01.2022 15:00 - 09.01.2022 16:00","6097","6150","n/e","n/e","16456","16950"
"09.01.2022 16:00 - 09.01.2022 17:00","4462","4333","n/e","n/e","16382","17065"
"09.01.2022 17:00 - 09.01.2022 18:00","1984","1803","n/e","n/e","16403","17237"
"09.01.2022 18:00 - 09.01.2022 19:00","224","240","n/e","n/e","16444","17021"
"09.01.2022 19:00 - 09.01.2022 20:00","37","69","n/e","n/e","16359","16814"
"09.01.2022 20:00 - 09.01.2022 21:00","32","33","n/e","n/e","16179","16567"
"09.01.2022 21:00 - 09.01.2022 22:00","23","33","n/e","n/e","16008","16505"
"09.01.2022 22:00 - 09.01.2022 23:00","20","19","n/e","n/e","15777","16230"
"09.01.2022 23:00 - 10.01.2022 00:00","18","11","n/e","n/e","15524","16318"
"10.01.2022 00:00 - 10.01.2022 01:00","22","16","n/e","n/e","15333","15882"
"10.01.2022 01:00 - 10.01.2022 02:00","22","16","n/e","n/e","14966","15194"
"10.01.2022 02:00 - 10.01.2022 03:00","18","18","n/e","n/e","14662","15474"
"10.01.2022 03:00 - 10.01.2022 04:00","19","16","n/e","n/e","14244","14726"
"10.01.2022 04:00 - 10.01.2022 05:00","12","7","n/e","n/e","13875","14128"
"10.01.2022 05:00 - 10.01.2022 06:00","3","1","n/e","n/e","13570","13508"
"10.01.2022 06:00 - 10.01.2022 07:00","4","1","n/e","n/e","13256","13099"
"10.01.2022 07:00 - 10.01.2022 08:00","9","2","n/e","n/e","12972","13147"
"10.01.2022 08:00 - 10.01.2022 09:00","51","56","n/e","n/e","12653","13020"
"10.01.2022 09:00 - 10.01.2022 10:00","1218","1112","n/e","n/e","12237","12809"
"10.01.2022 10:00 - 10.01.2022 11:00","3156","2826","n/e","n/e","11850","12825"
"10.01.2022 11:00 - 10.01.2022 12:00","4757","4309","n/e","n/e","11500","12845"
"10.01.2022 12:00 - 10.01.2022 13:00","5034","5270","n/e","n/e","11322","12546"
"10.01.2022 13:00 - 10.01.2022 14:00","5929","5744","n/e","n/e","11282","12018"
"10.01.2022 14:00 - 10.01.2022 15:00","6054","6046","n/e","n/e","11287","11997"
"10.01.2022 15:00 - 10.01.2022 16:00","5563","5647","n/e","n/e","11173","11884"
"10.01.2022 16:00 - 10.01.2022 17:00","4627","4288","n/e","n/e","10949","11721"
"10.01.2022 17:00 - 10.01.2022 18:00","2002","1945","n/e","n/e","10889","11650"
"10.01.2022 18:00 - 10.01.2022 19:00","201","132","n/e","n/e","10943","11614"
"10.01.2022 19:00 - 10.01.2022 20:00","43","11","n/e","n/e","10918","11309"
"10.01.2022 20:00 - 10.01.2022 21:00","34","1","n/e","n/e","10832","11055"
"10.01.2022 21:00 - 10.01.2022 22:00","34","0","n/e","n/e","10654","10434"
"10.01.2022 22:00 - 10.01.2022 23:00","32","0","n/e","n/e","10450","10673"
"10.01.2022 23:00 - 11.01.2022 00:00","24","1","n/e","n/e","10216","10473"
"11.01.2022 00:00 - 11.01.2022 01:00","22","2","n/e","n/e","10115","9920"
"11.01.2022 01:00 - 11.01.2022 02:00","22","1","n/e","n/e","9784","9591"
"11.01.2022 02:00 - 11.01.2022 03:00","10","0","n/e","n/e","9497","9435"
"11.01.2022 03:00 - 11.01.2022 04:00","20","0","n/e","n/e","9235","8847"
"11.01.2022 04:00 - 11.01.2022 05:00","20","1","n/e","n/e","9041","8668"
"11.01.2022 05:00 - 11.01.2022 06:00","14","1","n/e","n/e","8892","8524"
"11.01.2022 06:00 - 11.01.2022 07:00","11","1","n/e","n/e","8777","8504"
"11.01.2022 07:00 - 11.01.2022 08:00","13","4","n/e","n/e","8712","8673"
"11.01.2022 08:00 - 11.01.2022 09:00","94","52","n/e","n/e","8687","8541"
"11.01.2022 09:00 - 11.01.2022 10:00","1901","1550","n/e","n/e","8647","8524"
"11.01.2022 10:00 - 11.01.2022 11:00","4415","4184","n/e","n/e","8790","8674"
"11.01.2022 11:00 - 11.01.2022 12:00","6017","6246","n/e","n/e","9086","8909"
"11.01.2022 12:00 - 11.01.2022 13:00","6716","7089","n/e","n/e","9515","9051"
"11.01.2022 13:00 - 11.01.2022 14:00","6831","7081","n/e","n/e","9820","9622"
"11.01.2022 14:00 - 11.01.2022 15:00","6844","6921","n/e","n/e","10042","10142"
"11.01.2022 15:00 - 11.01.2022 16:00","6460","6448","n/e","n/e","10120","10471"
"11.01.2022 16:00 - 11.01.2022 17:00","5304","5059","n/e","n/e","10094","10704"
"11.01.2022 17:00 - 11.01.2022 18:00","2499","2391","n/e","n/e","10087","10598"
"11.01.2022 18:00 - 11.01.2022 19:00","315","302","n/e","n/e","10238","10995"
"11.01.2022 19:00 - 11.01.2022 20:00","64","75","n/e","n/e","10495","11320"
"11.01.2022 20:00 - 11.01.2022 21:00","45","27","n/e","n/e","10761","11673"
"11.01.2022 21:00 - 11.01.2022 22:00","40","21","n/e","n/e","10982","11913"
"11.01.2022 22:00 - 11.01.2022 23:00","24","17","n/e","n/e","11056","11986"
"11.01.2022 23:00 - 12.01.2022 00:00","19","23","n/e","n/e","10974","12013"
"12.01.2022 00:00 - 12.01.2022 01:00","28","23","n/e","n/e","11230","11887"
"12.01.2022 01:00 - 12.01.2022 02:00","28","22","n/e","n/e","10948","11616"
"12.01.2022 02:00 - 12.01.2022 03:00","23","19","n/e","n/e","10695","11063"
"12.01.2022 03:00 - 12.01.2022 04:00","21","15","n/e","n/e","10367","10643"
"12.01.2022 04:00 - 12.01.2022 05:00","21","18","n/e","n/e","10265","11150"
"12.01.2022 05:00 - 12.01.2022 06:00","21","18","n/e","n/e","10227","11423"
"12.01.2022 06:00 - 12.01.2022 07:00","21","9","n/e","n/e","10198","11587"
"12.01.2022 07:00 - 12.01.2022 08:00","18","10","n/e","n/e","10148","11591"
"12.01.2022 08:00 - 12.01.2022 09:00","114","95","n/e","n/e","10061","11606"
"12.01.2022 09:00 - 12.01.2022 10:00","2374","1954","n/e","n/e","10008","11882"
"12.01.2022 10:00 - 12.01.2022 11:00","5379","5051","n/e","n/e","9638","11186"
"12.01.2022 11:00 - 12.01.2022 12:00","6964","7063","n/e","n/e","9243","10889"
"12.01.2022 12:00 - 12.01.2022 13:00","7675","8542","n/e","n/e","9062","11005"
"12.01.2022 13:00 - 12.01.2022 14:00","7812","8766","n/e","n/e","9101","10253"
"12.01.2022 14:00 - 12.01.2022 15:00","7761","8423","n/e","n/e","9087","10083"
"12.01.2022 15:00 - 12.01.2022 16:00","7345","7998","n/e","n/e","9075","10290"
"12.01.2022 16:00 - 12.01.2022 17:00","5919","6417","n/e","n/e","9088","10258"
"12.01.2022 17:00 - 12.01.2022 18:00","2747","2908","n/e","n/e","9181","9915"
"12.01.2022 18:00 - 12.01.2022 19:00","326","257","n/e","n/e","9365","9850"
"12.01.2022 19:00 - 12.01.2022 20:00","76","56","n/e","n/e","9455","10088"
"12.01.2022 20:00 - 12.01.2022 21:00","50","27","n/e","n/e","9254","10014"
"12.01.2022 21:00 - 12.01.2022 22:00","31","26","n/e","n/e","8853","10018"
"12.01.2022 22:00 - 12.01.2022 23:00","28","20","n/e","n/e","8342","9945"
"12.01.2022 23:00 - 13.01.2022 00:00","23","20","n/e","n/e","7775","9400"
"13.01.2022 00:00 - 13.01.2022 01:00","28","16","n/e","n/e","8147","8491"
"13.01.2022 01:00 - 13.01.2022 02:00","28","18","n/e","n/e","7506","7583"
"13.01.2022 02:00 - 13.01.2022 03:00","19","22","n/e","n/e","6986","7252"
"13.01.2022 03:00 - 13.01.2022 04:00","13","22","n/e","n/e","6602","7043"
"13.01.2022 04:00 - 13.01.2022 05:00","13","18","n/e","n/e","6279","6767"
"13.01.2022 05:00 - 13.01.2022 06:00","7","13","n/e","n/e","5905","6487"
"13.01.2022 06:00 - 13.01.2022 07:00","9","10","n/e","n/e","5595","6219"
"13.01.2022 07:00 - 13.01.2022 08:00","8","10","n/e","n/e","5392","6003"
