"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Netherlands (NL)","Generation - Solar  [MW] Current / Netherlands (NL)","Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Offshore  [MW] Current / Netherlands (NL)","Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Onshore  [MW] Current / Netherlands (NL)"
"03.01.2022 01:30 - 03.01.2022 01:45","0","n/e","1431","n/e","4316","n/e"
"03.01.2022 01:45 - 03.01.2022 02:00","0","n/e","1433","n/e","4335","n/e"
"03.01.2022 02:00 - 03.01.2022 02:15","0","n/e","1435","n/e","4356","n/e"
"03.01.2022 02:15 - 03.01.2022 02:30","0","n/e","1437","n/e","4365","n/e"
"03.01.2022 02:30 - 03.01.2022 02:45","0","n/e","1438","n/e","4370","n/e"
"03.01.2022 02:45 - 03.01.2022 03:00","0","n/e","1439","n/e","4369","n/e"
"03.01.2022 03:00 - 03.01.2022 03:15","0","n/e","1441","n/e","4371","n/e"
"03.01.2022 03:15 - 03.01.2022 03:30","0","n/e","1441","n/e","4365","n/e"
"03.01.2022 03:30 - 03.01.2022 03:45","0","n/e","1441","n/e","4350","n/e"
"03.01.2022 03:45 - 03.01.2022 04:00","0","n/e","1441","n/e","4335","n/e"
"03.01.2022 04:00 - 03.01.2022 04:15","0","n/e","1441","n/e","4320","n/e"
"03.01.2022 04:15 - 03.01.2022 04:30","0","n/e","1441","n/e","4311","n/e"
"03.01.2022 04:30 - 03.01.2022 04:45","0","n/e","1440","n/e","4308","n/e"
"03.01.2022 04:45 - 03.01.2022 05:00","0","n/e","1439","n/e","4303","n/e"
"03.01.2022 05:00 - 03.01.2022 05:15","0","n/e","1439","n/e","4299","n/e"
"03.01.2022 05:15 - 03.01.2022 05:30","0","n/e","1437","n/e","4273","n/e"
"03.01.2022 05:30 - 03.01.2022 05:45","0","n/e","1436","n/e","4225","n/e"
"03.01.2022 05:45 - 03.01.2022 06:00","0","n/e","1434","n/e","4175","n/e"
"03.01.2022 06:00 - 03.01.2022 06:15","0","n/e","1432","n/e","4125","n/e"
"03.01.2022 06:15 - 03.01.2022 06:30","0","n/e","1430","n/e","4081","n/e"
"03.01.2022 06:30 - 03.01.2022 06:45","0","n/e","1427","n/e","4044","n/e"
"03.01.2022 06:45 - 03.01.2022 07:00","0","n/e","1425","n/e","4006","n/e"
"03.01.2022 07:00 - 03.01.2022 07:15","0","n/e","1422","n/e","3969","n/e"
"03.01.2022 07:15 - 03.01.2022 07:30","0","n/e","1420","n/e","3943","n/e"
"03.01.2022 07:30 - 03.01.2022 07:45","0","n/e","1418","n/e","3929","n/e"
"03.01.2022 07:45 - 03.01.2022 08:00","0","n/e","1416","n/e","3912","n/e"
"03.01.2022 08:00 - 03.01.2022 08:15","0","n/e","1414","n/e","3896","n/e"
"03.01.2022 08:15 - 03.01.2022 08:30","0","n/e","1411","n/e","3876","n/e"
"03.01.2022 08:30 - 03.01.2022 08:45","0","n/e","1407","n/e","3853","n/e"
"03.01.2022 08:45 - 03.01.2022 09:00","0","n/e","1403","n/e","3828","n/e"
"03.01.2022 09:00 - 03.01.2022 09:15","2","n/e","1400","n/e","3805","n/e"
"03.01.2022 09:15 - 03.01.2022 09:30","120","n/e","1398","n/e","3785","n/e"
"03.01.2022 09:30 - 03.01.2022 09:45","241","n/e","1397","n/e","3767","n/e"
"03.01.2022 09:45 - 03.01.2022 10:00","361","n/e","1397","n/e","3750","n/e"
"03.01.2022 10:00 - 03.01.2022 10:15","481","n/e","1397","n/e","3732","n/e"
"03.01.2022 10:15 - 03.01.2022 10:30","742","n/e","1397","n/e","3737","n/e"
"03.01.2022 10:30 - 03.01.2022 10:45","1003","n/e","1397","n/e","3765","n/e"
"03.01.2022 10:45 - 03.01.2022 11:00","1264","n/e","1398","n/e","3797","n/e"
