"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"05.01.2022 20:00 - 05.01.2022 21:00","0","0","n/e","n/e","4695","n/e"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","n/e","n/e","4807","n/e"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","n/e","n/e","4792","n/e"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","n/e","n/e","4602","n/e"
"06.01.2022 00:00 - 06.01.2022 01:00","0","0","n/e","n/e","5548","n/e"
"06.01.2022 01:00 - 06.01.2022 02:00","0","0","n/e","n/e","5463","n/e"
"06.01.2022 02:00 - 06.01.2022 03:00","0","0","n/e","n/e","5071","n/e"
"06.01.2022 03:00 - 06.01.2022 04:00","0","0","n/e","n/e","4660","n/e"
"06.01.2022 04:00 - 06.01.2022 05:00","0","0","n/e","n/e","3944","n/e"
"06.01.2022 05:00 - 06.01.2022 06:00","0","0","n/e","n/e","3347","n/e"
"06.01.2022 06:00 - 06.01.2022 07:00","0","0","n/e","n/e","2690","n/e"
"06.01.2022 07:00 - 06.01.2022 08:00","15","16","n/e","n/e","2176","n/e"
"06.01.2022 08:00 - 06.01.2022 09:00","648","661","n/e","n/e","1916","n/e"
"06.01.2022 09:00 - 06.01.2022 10:00","2035","2078","n/e","n/e","1725","n/e"
"06.01.2022 10:00 - 06.01.2022 11:00","3359","3425","n/e","n/e","1565","n/e"
"06.01.2022 11:00 - 06.01.2022 12:00","4159","4259","n/e","n/e","1546","n/e"
"06.01.2022 12:00 - 06.01.2022 13:00","4396","4507","n/e","n/e","1494","n/e"
"06.01.2022 13:00 - 06.01.2022 14:00","4050","4150","n/e","n/e","1465","n/e"
"06.01.2022 14:00 - 06.01.2022 15:00","3099","3158","n/e","n/e","1355","n/e"
"06.01.2022 15:00 - 06.01.2022 16:00","1648","1651","n/e","n/e","1268","n/e"
"06.01.2022 16:00 - 06.01.2022 17:00","310","284","n/e","n/e","1289","n/e"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","n/e","n/e","1264","n/e"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","n/e","n/e","1240","n/e"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","n/e","n/e","1287","n/e"
"06.01.2022 20:00 - 06.01.2022 21:00","0","0","n/e","n/e","1148","n/e"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","n/e","n/e","1063","n/e"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","n/e","n/e","1102","n/e"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","n/e","n/e","1252","n/e"
"07.01.2022 00:00 - 07.01.2022 01:00","0","0","n/e","n/e","1419","n/e"
"07.01.2022 01:00 - 07.01.2022 02:00","0","0","n/e","n/e","1539","n/e"
"07.01.2022 02:00 - 07.01.2022 03:00","0","0","n/e","n/e","1660","n/e"
"07.01.2022 03:00 - 07.01.2022 04:00","0","0","n/e","n/e","1885","n/e"
"07.01.2022 04:00 - 07.01.2022 05:00","0","0","n/e","n/e","2064","n/e"
"07.01.2022 05:00 - 07.01.2022 06:00","0","0","n/e","n/e","2209","n/e"
"07.01.2022 06:00 - 07.01.2022 07:00","0","0","n/e","n/e","2387","n/e"
"07.01.2022 07:00 - 07.01.2022 08:00","8","0","n/e","n/e","2637","n/e"
"07.01.2022 08:00 - 07.01.2022 09:00","692","689","n/e","n/e","2652","n/e"
"07.01.2022 09:00 - 07.01.2022 10:00","2415","2425","n/e","n/e","2735","n/e"
"07.01.2022 10:00 - 07.01.2022 11:00","4136","4155","n/e","n/e","2823","n/e"
"07.01.2022 11:00 - 07.01.2022 12:00","5194","5248","n/e","n/e","2800","n/e"
