"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Luxembourg (LU)","Generation - Solar  [MW] Current / Luxembourg (LU)","Generation - Wind Offshore  [MW] Day Ahead/ Luxembourg (LU)","Generation - Wind Offshore  [MW] Current / Luxembourg (LU)","Generation - Wind Onshore  [MW] Day Ahead/ Luxembourg (LU)","Generation - Wind Onshore  [MW] Current / Luxembourg (LU)"
"08.04.2022 06:45 - 08.04.2022 07:00","0","n/e","n/e","n/e","51","n/e"
"08.04.2022 07:00 - 08.04.2022 07:15","1","n/e","n/e","n/e","38","n/e"
"08.04.2022 07:15 - 08.04.2022 07:30","3","n/e","n/e","n/e","37","n/e"
"08.04.2022 07:30 - 08.04.2022 07:45","5","n/e","n/e","n/e","35","n/e"
"08.04.2022 07:45 - 08.04.2022 08:00","9","n/e","n/e","n/e","34","n/e"
"08.04.2022 08:00 - 08.04.2022 08:15","12","n/e","n/e","n/e","24","n/e"
"08.04.2022 08:15 - 08.04.2022 08:30","16","n/e","n/e","n/e","24","n/e"
"08.04.2022 08:30 - 08.04.2022 08:45","20","n/e","n/e","n/e","23","n/e"
"08.04.2022 08:45 - 08.04.2022 09:00","22","n/e","n/e","n/e","23","n/e"
"08.04.2022 09:00 - 08.04.2022 09:15","24","n/e","n/e","n/e","18","n/e"
"08.04.2022 09:15 - 08.04.2022 09:30","25","n/e","n/e","n/e","18","n/e"
"08.04.2022 09:30 - 08.04.2022 09:45","26","n/e","n/e","n/e","17","n/e"
"08.04.2022 09:45 - 08.04.2022 10:00","27","n/e","n/e","n/e","16","n/e"
"08.04.2022 10:00 - 08.04.2022 10:15","28","n/e","n/e","n/e","14","n/e"
"08.04.2022 10:15 - 08.04.2022 10:30","29","n/e","n/e","n/e","13","n/e"
"08.04.2022 10:30 - 08.04.2022 10:45","29","n/e","n/e","n/e","13","n/e"
"08.04.2022 10:45 - 08.04.2022 11:00","28","n/e","n/e","n/e","13","n/e"
"08.04.2022 11:00 - 08.04.2022 11:15","27","n/e","n/e","n/e","10","n/e"
"08.04.2022 11:15 - 08.04.2022 11:30","26","n/e","n/e","n/e","10","n/e"
"08.04.2022 11:30 - 08.04.2022 11:45","26","n/e","n/e","n/e","9","n/e"
"08.04.2022 11:45 - 08.04.2022 12:00","25","n/e","n/e","n/e","9","n/e"
"08.04.2022 12:00 - 08.04.2022 12:15","25","n/e","n/e","n/e","5","n/e"
"08.04.2022 12:15 - 08.04.2022 12:30","24","n/e","n/e","n/e","5","n/e"
"08.04.2022 12:30 - 08.04.2022 12:45","23","n/e","n/e","n/e","4","n/e"
"08.04.2022 12:45 - 08.04.2022 13:00","23","n/e","n/e","n/e","4","n/e"
"08.04.2022 13:00 - 08.04.2022 13:15","22","n/e","n/e","n/e","2","n/e"
"08.04.2022 13:15 - 08.04.2022 13:30","22","n/e","n/e","n/e","2","n/e"
"08.04.2022 13:30 - 08.04.2022 13:45","21","n/e","n/e","n/e","2","n/e"
"08.04.2022 13:45 - 08.04.2022 14:00","21","n/e","n/e","n/e","2","n/e"
"08.04.2022 14:00 - 08.04.2022 14:15","20","n/e","n/e","n/e","3","n/e"
"08.04.2022 14:15 - 08.04.2022 14:30","20","n/e","n/e","n/e","3","n/e"
"08.04.2022 14:30 - 08.04.2022 14:45","19","n/e","n/e","n/e","3","n/e"
"08.04.2022 14:45 - 08.04.2022 15:00","18","n/e","n/e","n/e","4","n/e"
"08.04.2022 15:00 - 08.04.2022 15:15","17","n/e","n/e","n/e","6","n/e"
"08.04.2022 15:15 - 08.04.2022 15:30","16","n/e","n/e","n/e","6","n/e"
"08.04.2022 15:30 - 08.04.2022 15:45","15","n/e","n/e","n/e","6","n/e"
"08.04.2022 15:45 - 08.04.2022 16:00","15","n/e","n/e","n/e","6","n/e"
"08.04.2022 16:00 - 08.04.2022 16:15","15","n/e","n/e","n/e","8","n/e"
"08.04.2022 16:15 - 08.04.2022 16:30","14","n/e","n/e","n/e","8","n/e"
"08.04.2022 16:30 - 08.04.2022 16:45","13","n/e","n/e","n/e","8","n/e"
"08.04.2022 16:45 - 08.04.2022 17:00","12","n/e","n/e","n/e","9","n/e"
"08.04.2022 17:00 - 08.04.2022 17:15","11","n/e","n/e","n/e","13","n/e"
"08.04.2022 17:15 - 08.04.2022 17:30","10","n/e","n/e","n/e","13","n/e"
"08.04.2022 17:30 - 08.04.2022 17:45","9","n/e","n/e","n/e","14","n/e"
"08.04.2022 17:45 - 08.04.2022 18:00","8","n/e","n/e","n/e","14","n/e"
"08.04.2022 18:00 - 08.04.2022 18:15","7","n/e","n/e","n/e","21","n/e"
"08.04.2022 18:15 - 08.04.2022 18:30","6","n/e","n/e","n/e","22","n/e"
"08.04.2022 18:30 - 08.04.2022 18:45","5","n/e","n/e","n/e","22","n/e"
"08.04.2022 18:45 - 08.04.2022 19:00","4","n/e","n/e","n/e","23","n/e"
"08.04.2022 19:00 - 08.04.2022 19:15","3","n/e","n/e","n/e","31","n/e"
"08.04.2022 19:15 - 08.04.2022 19:30","2","n/e","n/e","n/e","32","n/e"
"08.04.2022 19:30 - 08.04.2022 19:45","1","n/e","n/e","n/e","33","n/e"
"08.04.2022 19:45 - 08.04.2022 20:00","1","n/e","n/e","n/e","33","n/e"
"08.04.2022 20:00 - 08.04.2022 20:15","0","n/e","n/e","n/e","43","n/e"
"08.04.2022 20:15 - 08.04.2022 20:30","0","n/e","n/e","n/e","43","n/e"
"08.04.2022 20:30 - 08.04.2022 20:45","0","n/e","n/e","n/e","43","n/e"
"08.04.2022 20:45 - 08.04.2022 21:00","0","n/e","n/e","n/e","44","n/e"
"08.04.2022 21:00 - 08.04.2022 21:15","0","n/e","n/e","n/e","49","n/e"
"08.04.2022 21:15 - 08.04.2022 21:30","0","n/e","n/e","n/e","49","n/e"
"08.04.2022 21:30 - 08.04.2022 21:45","0","n/e","n/e","n/e","49","n/e"
"08.04.2022 21:45 - 08.04.2022 22:00","0","n/e","n/e","n/e","50","n/e"
"08.04.2022 22:00 - 08.04.2022 22:15","0","n/e","n/e","n/e","47","n/e"
"08.04.2022 22:15 - 08.04.2022 22:30","0","n/e","n/e","n/e","48","n/e"
"08.04.2022 22:30 - 08.04.2022 22:45","0","n/e","n/e","n/e","49","n/e"
"08.04.2022 22:45 - 08.04.2022 23:00","0","n/e","n/e","n/e","49","n/e"
"08.04.2022 23:00 - 08.04.2022 23:15","0","n/e","n/e","n/e","48","n/e"
"08.04.2022 23:15 - 08.04.2022 23:30","0","n/e","n/e","n/e","48","n/e"
"08.04.2022 23:30 - 08.04.2022 23:45","0","n/e","n/e","n/e","48","n/e"
"08.04.2022 23:45 - 09.04.2022 00:00","0","n/e","n/e","n/e","48","n/e"
"09.04.2022 00:00 - 09.04.2022 00:15","0","n/e","n/e","n/e","57","n/e"
"09.04.2022 00:15 - 09.04.2022 00:30","0","n/e","n/e","n/e","57","n/e"
"09.04.2022 00:30 - 09.04.2022 00:45","0","n/e","n/e","n/e","58","n/e"
"09.04.2022 00:45 - 09.04.2022 01:00","0","n/e","n/e","n/e","58","n/e"
"09.04.2022 01:00 - 09.04.2022 01:15","0","n/e","n/e","n/e","60","n/e"
"09.04.2022 01:15 - 09.04.2022 01:30","0","n/e","n/e","n/e","60","n/e"
"09.04.2022 01:30 - 09.04.2022 01:45","0","n/e","n/e","n/e","60","n/e"
"09.04.2022 01:45 - 09.04.2022 02:00","0","n/e","n/e","n/e","60","n/e"
"09.04.2022 02:00 - 09.04.2022 02:15","0","n/e","n/e","n/e","59","n/e"
"09.04.2022 02:15 - 09.04.2022 02:30","0","n/e","n/e","n/e","59","n/e"
"09.04.2022 02:30 - 09.04.2022 02:45","0","n/e","n/e","n/e","58","n/e"
"09.04.2022 02:45 - 09.04.2022 03:00","0","n/e","n/e","n/e","58","n/e"
"09.04.2022 03:00 - 09.04.2022 03:15","0","n/e","n/e","n/e","55","n/e"
"09.04.2022 03:15 - 09.04.2022 03:30","0","n/e","n/e","n/e","55","n/e"
"09.04.2022 03:30 - 09.04.2022 03:45","0","n/e","n/e","n/e","55","n/e"
"09.04.2022 03:45 - 09.04.2022 04:00","0","n/e","n/e","n/e","55","n/e"
"09.04.2022 04:00 - 09.04.2022 04:15","0","n/e","n/e","n/e","53","n/e"
"09.04.2022 04:15 - 09.04.2022 04:30","0","n/e","n/e","n/e","53","n/e"
"09.04.2022 04:30 - 09.04.2022 04:45","0","n/e","n/e","n/e","52","n/e"
"09.04.2022 04:45 - 09.04.2022 05:00","0","n/e","n/e","n/e","52","n/e"
"09.04.2022 05:00 - 09.04.2022 05:15","0","n/e","n/e","n/e","50","n/e"
"09.04.2022 05:15 - 09.04.2022 05:30","0","n/e","n/e","n/e","49","n/e"
"09.04.2022 05:30 - 09.04.2022 05:45","0","n/e","n/e","n/e","49","n/e"
"09.04.2022 05:45 - 09.04.2022 06:00","0","n/e","n/e","n/e","48","n/e"
"09.04.2022 06:00 - 09.04.2022 06:15","0","n/e","n/e","n/e","45","n/e"
"09.04.2022 06:15 - 09.04.2022 06:30","0","n/e","n/e","n/e","45","n/e"
"09.04.2022 06:30 - 09.04.2022 06:45","0","n/e","n/e","n/e","44","n/e"
"09.04.2022 06:45 - 09.04.2022 07:00","0","n/e","n/e","n/e","44","n/e"
"09.04.2022 07:00 - 09.04.2022 07:15","1","n/e","n/e","n/e","40","n/e"
"09.04.2022 07:15 - 09.04.2022 07:30","4","n/e","n/e","n/e","40","n/e"
"09.04.2022 07:30 - 09.04.2022 07:45","8","n/e","n/e","n/e","39","n/e"
"09.04.2022 07:45 - 09.04.2022 08:00","13","n/e","n/e","n/e","39","n/e"
"09.04.2022 08:00 - 09.04.2022 08:15","19","n/e","n/e","n/e","34","n/e"
"09.04.2022 08:15 - 09.04.2022 08:30","26","n/e","n/e","n/e","33","n/e"
"09.04.2022 08:30 - 09.04.2022 08:45","33","n/e","n/e","n/e","32","n/e"
"09.04.2022 08:45 - 09.04.2022 09:00","40","n/e","n/e","n/e","32","n/e"
"09.04.2022 09:00 - 09.04.2022 09:15","48","n/e","n/e","n/e","29","n/e"
"09.04.2022 09:15 - 09.04.2022 09:30","55","n/e","n/e","n/e","28","n/e"
"09.04.2022 09:30 - 09.04.2022 09:45","62","n/e","n/e","n/e","28","n/e"
"09.04.2022 09:45 - 09.04.2022 10:00","69","n/e","n/e","n/e","28","n/e"
"09.04.2022 10:00 - 09.04.2022 10:15","75","n/e","n/e","n/e","27","n/e"
"09.04.2022 10:15 - 09.04.2022 10:30","82","n/e","n/e","n/e","27","n/e"
"09.04.2022 10:30 - 09.04.2022 10:45","89","n/e","n/e","n/e","26","n/e"
"09.04.2022 10:45 - 09.04.2022 11:00","97","n/e","n/e","n/e","26","n/e"
"09.04.2022 11:00 - 09.04.2022 11:15","107","n/e","n/e","n/e","25","n/e"
"09.04.2022 11:15 - 09.04.2022 11:30","117","n/e","n/e","n/e","25","n/e"
"09.04.2022 11:30 - 09.04.2022 11:45","129","n/e","n/e","n/e","25","n/e"
"09.04.2022 11:45 - 09.04.2022 12:00","141","n/e","n/e","n/e","25","n/e"
"09.04.2022 12:00 - 09.04.2022 12:15","153","n/e","n/e","n/e","27","n/e"
"09.04.2022 12:15 - 09.04.2022 12:30","163","n/e","n/e","n/e","27","n/e"
"09.04.2022 12:30 - 09.04.2022 12:45","171","n/e","n/e","n/e","27","n/e"
"09.04.2022 12:45 - 09.04.2022 13:00","177","n/e","n/e","n/e","27","n/e"
"09.04.2022 13:00 - 09.04.2022 13:15","182","n/e","n/e","n/e","30","n/e"
"09.04.2022 13:15 - 09.04.2022 13:30","185","n/e","n/e","n/e","31","n/e"
"09.04.2022 13:30 - 09.04.2022 13:45","189","n/e","n/e","n/e","31","n/e"
"09.04.2022 13:45 - 09.04.2022 14:00","193","n/e","n/e","n/e","31","n/e"
"09.04.2022 14:00 - 09.04.2022 14:15","196","n/e","n/e","n/e","8","n/e"
"09.04.2022 14:15 - 09.04.2022 14:30","199","n/e","n/e","n/e","8","n/e"
"09.04.2022 14:30 - 09.04.2022 14:45","199","n/e","n/e","n/e","8","n/e"
"09.04.2022 14:45 - 09.04.2022 15:00","197","n/e","n/e","n/e","9","n/e"
"09.04.2022 15:00 - 09.04.2022 15:15","193","n/e","n/e","n/e","35","n/e"
"09.04.2022 15:15 - 09.04.2022 15:30","187","n/e","n/e","n/e","35","n/e"
"09.04.2022 15:30 - 09.04.2022 15:45","181","n/e","n/e","n/e","36","n/e"
"09.04.2022 15:45 - 09.04.2022 16:00","173","n/e","n/e","n/e","36","n/e"
"09.04.2022 16:00 - 09.04.2022 16:15","164","n/e","n/e","n/e","38","n/e"
"09.04.2022 16:15 - 09.04.2022 16:30","155","n/e","n/e","n/e","38","n/e"
"09.04.2022 16:30 - 09.04.2022 16:45","145","n/e","n/e","n/e","38","n/e"
"09.04.2022 16:45 - 09.04.2022 17:00","136","n/e","n/e","n/e","38","n/e"
"09.04.2022 17:00 - 09.04.2022 17:15","127","n/e","n/e","n/e","37","n/e"
"09.04.2022 17:15 - 09.04.2022 17:30","116","n/e","n/e","n/e","37","n/e"
"09.04.2022 17:30 - 09.04.2022 17:45","106","n/e","n/e","n/e","37","n/e"
"09.04.2022 17:45 - 09.04.2022 18:00","95","n/e","n/e","n/e","37","n/e"
"09.04.2022 18:00 - 09.04.2022 18:15","84","n/e","n/e","n/e","35","n/e"
"09.04.2022 18:15 - 09.04.2022 18:30","72","n/e","n/e","n/e","34","n/e"
"09.04.2022 18:30 - 09.04.2022 18:45","59","n/e","n/e","n/e","33","n/e"
"09.04.2022 18:45 - 09.04.2022 19:00","46","n/e","n/e","n/e","33","n/e"
"09.04.2022 19:00 - 09.04.2022 19:15","34","n/e","n/e","n/e","29","n/e"
"09.04.2022 19:15 - 09.04.2022 19:30","24","n/e","n/e","n/e","29","n/e"
"09.04.2022 19:30 - 09.04.2022 19:45","15","n/e","n/e","n/e","29","n/e"
"09.04.2022 19:45 - 09.04.2022 20:00","7","n/e","n/e","n/e","29","n/e"
"09.04.2022 20:00 - 09.04.2022 20:15","2","n/e","n/e","n/e","30","n/e"
"09.04.2022 20:15 - 09.04.2022 20:30","0","n/e","n/e","n/e","30","n/e"
"09.04.2022 20:30 - 09.04.2022 20:45","0","n/e","n/e","n/e","30","n/e"
"09.04.2022 20:45 - 09.04.2022 21:00","0","n/e","n/e","n/e","30","n/e"
"09.04.2022 21:00 - 09.04.2022 21:15","0","n/e","n/e","n/e","29","n/e"
"09.04.2022 21:15 - 09.04.2022 21:30","0","n/e","n/e","n/e","29","n/e"
"09.04.2022 21:30 - 09.04.2022 21:45","0","n/e","n/e","n/e","29","n/e"
"09.04.2022 21:45 - 09.04.2022 22:00","0","n/e","n/e","n/e","29","n/e"
"09.04.2022 22:00 - 09.04.2022 22:15","0","n/e","n/e","n/e","25","n/e"
"09.04.2022 22:15 - 09.04.2022 22:30","0","n/e","n/e","n/e","25","n/e"
"09.04.2022 22:30 - 09.04.2022 22:45","0","n/e","n/e","n/e","25","n/e"
"09.04.2022 22:45 - 09.04.2022 23:00","0","n/e","n/e","n/e","25","n/e"
"09.04.2022 23:00 - 09.04.2022 23:15","0","n/e","n/e","n/e","23","n/e"
"09.04.2022 23:15 - 09.04.2022 23:30","0","n/e","n/e","n/e","23","n/e"
"09.04.2022 23:30 - 09.04.2022 23:45","0","n/e","n/e","n/e","22","n/e"
"09.04.2022 23:45 - 10.04.2022 00:00","0","n/e","n/e","n/e","22","n/e"
"10.04.2022 00:00 - 10.04.2022 00:15","0","n/e","n/e","n/e","24","n/e"
"10.04.2022 00:15 - 10.04.2022 00:30","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 00:30 - 10.04.2022 00:45","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 00:45 - 10.04.2022 01:00","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 01:00 - 10.04.2022 01:15","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 01:15 - 10.04.2022 01:30","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 01:30 - 10.04.2022 01:45","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 01:45 - 10.04.2022 02:00","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 02:00 - 10.04.2022 02:15","0","n/e","n/e","n/e","24","n/e"
"10.04.2022 02:15 - 10.04.2022 02:30","0","n/e","n/e","n/e","24","n/e"
"10.04.2022 02:30 - 10.04.2022 02:45","0","n/e","n/e","n/e","24","n/e"
"10.04.2022 02:45 - 10.04.2022 03:00","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 03:00 - 10.04.2022 03:15","0","n/e","n/e","n/e","24","n/e"
"10.04.2022 03:15 - 10.04.2022 03:30","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 03:30 - 10.04.2022 03:45","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 03:45 - 10.04.2022 04:00","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 04:00 - 10.04.2022 04:15","0","n/e","n/e","n/e","23","n/e"
"10.04.2022 04:15 - 10.04.2022 04:30","0","n/e","n/e","n/e","22","n/e"
"10.04.2022 04:30 - 10.04.2022 04:45","0","n/e","n/e","n/e","22","n/e"
"10.04.2022 04:45 - 10.04.2022 05:00","0","n/e","n/e","n/e","21","n/e"
"10.04.2022 05:00 - 10.04.2022 05:15","0","n/e","n/e","n/e","19","n/e"
"10.04.2022 05:15 - 10.04.2022 05:30","0","n/e","n/e","n/e","19","n/e"
"10.04.2022 05:30 - 10.04.2022 05:45","0","n/e","n/e","n/e","19","n/e"
"10.04.2022 05:45 - 10.04.2022 06:00","0","n/e","n/e","n/e","19","n/e"
"10.04.2022 06:00 - 10.04.2022 06:15","0","n/e","n/e","n/e","15","n/e"
"10.04.2022 06:15 - 10.04.2022 06:30","0","n/e","n/e","n/e","15","n/e"
"10.04.2022 06:30 - 10.04.2022 06:45","0","n/e","n/e","n/e","15","n/e"
"10.04.2022 06:45 - 10.04.2022 07:00","0","n/e","n/e","n/e","15","n/e"
"10.04.2022 07:00 - 10.04.2022 07:15","2","n/e","n/e","n/e","11","n/e"
"10.04.2022 07:15 - 10.04.2022 07:30","8","n/e","n/e","n/e","11","n/e"
"10.04.2022 07:30 - 10.04.2022 07:45","15","n/e","n/e","n/e","11","n/e"
"10.04.2022 07:45 - 10.04.2022 08:00","24","n/e","n/e","n/e","11","n/e"
"10.04.2022 08:00 - 10.04.2022 08:15","34","n/e","n/e","n/e","8","n/e"
"10.04.2022 08:15 - 10.04.2022 08:30","45","n/e","n/e","n/e","8","n/e"
"10.04.2022 08:30 - 10.04.2022 08:45","58","n/e","n/e","n/e","7","n/e"
"10.04.2022 08:45 - 10.04.2022 09:00","71","n/e","n/e","n/e","7","n/e"
"10.04.2022 09:00 - 10.04.2022 09:15","85","n/e","n/e","n/e","4","n/e"
"10.04.2022 09:15 - 10.04.2022 09:30","98","n/e","n/e","n/e","4","n/e"
"10.04.2022 09:30 - 10.04.2022 09:45","112","n/e","n/e","n/e","4","n/e"
"10.04.2022 09:45 - 10.04.2022 10:00","124","n/e","n/e","n/e","4","n/e"
"10.04.2022 10:00 - 10.04.2022 10:15","136","n/e","n/e","n/e","3","n/e"
"10.04.2022 10:15 - 10.04.2022 10:30","147","n/e","n/e","n/e","3","n/e"
"10.04.2022 10:30 - 10.04.2022 10:45","154","n/e","n/e","n/e","3","n/e"
"10.04.2022 10:45 - 10.04.2022 11:00","157","n/e","n/e","n/e","3","n/e"
"10.04.2022 11:00 - 10.04.2022 11:15","157","n/e","n/e","n/e","5","n/e"
"10.04.2022 11:15 - 10.04.2022 11:30","157","n/e","n/e","n/e","5","n/e"
"10.04.2022 11:30 - 10.04.2022 11:45","156","n/e","n/e","n/e","5","n/e"
"10.04.2022 11:45 - 10.04.2022 12:00","154","n/e","n/e","n/e","5","n/e"
"10.04.2022 12:00 - 10.04.2022 12:15","152","n/e","n/e","n/e","5","n/e"
"10.04.2022 12:15 - 10.04.2022 12:30","150","n/e","n/e","n/e","5","n/e"
"10.04.2022 12:30 - 10.04.2022 12:45","150","n/e","n/e","n/e","5","n/e"
"10.04.2022 12:45 - 10.04.2022 13:00","152","n/e","n/e","n/e","5","n/e"
"10.04.2022 13:00 - 10.04.2022 13:15","154","n/e","n/e","n/e","6","n/e"
"10.04.2022 13:15 - 10.04.2022 13:30","156","n/e","n/e","n/e","6","n/e"
"10.04.2022 13:30 - 10.04.2022 13:45","154","n/e","n/e","n/e","6","n/e"
"10.04.2022 13:45 - 10.04.2022 14:00","150","n/e","n/e","n/e","6","n/e"
"10.04.2022 14:00 - 10.04.2022 14:15","143","n/e","n/e","n/e","7","n/e"
"10.04.2022 14:15 - 10.04.2022 14:30","137","n/e","n/e","n/e","7","n/e"
"10.04.2022 14:30 - 10.04.2022 14:45","132","n/e","n/e","n/e","7","n/e"
"10.04.2022 14:45 - 10.04.2022 15:00","130","n/e","n/e","n/e","7","n/e"
"10.04.2022 15:00 - 10.04.2022 15:15","129","n/e","n/e","n/e","6","n/e"
"10.04.2022 15:15 - 10.04.2022 15:30","126","n/e","n/e","n/e","6","n/e"
"10.04.2022 15:30 - 10.04.2022 15:45","124","n/e","n/e","n/e","6","n/e"
"10.04.2022 15:45 - 10.04.2022 16:00","120","n/e","n/e","n/e","6","n/e"
"10.04.2022 16:00 - 10.04.2022 16:15","117","n/e","n/e","n/e","6","n/e"
"10.04.2022 16:15 - 10.04.2022 16:30","112","n/e","n/e","n/e","6","n/e"
"10.04.2022 16:30 - 10.04.2022 16:45","107","n/e","n/e","n/e","6","n/e"
"10.04.2022 16:45 - 10.04.2022 17:00","102","n/e","n/e","n/e","6","n/e"
"10.04.2022 17:00 - 10.04.2022 17:15","96","n/e","n/e","n/e","5","n/e"
"10.04.2022 17:15 - 10.04.2022 17:30","90","n/e","n/e","n/e","5","n/e"
"10.04.2022 17:30 - 10.04.2022 17:45","82","n/e","n/e","n/e","5","n/e"
"10.04.2022 17:45 - 10.04.2022 18:00","75","n/e","n/e","n/e","5","n/e"
"10.04.2022 18:00 - 10.04.2022 18:15","67","n/e","n/e","n/e","3","n/e"
"10.04.2022 18:15 - 10.04.2022 18:30","59","n/e","n/e","n/e","3","n/e"
"10.04.2022 18:30 - 10.04.2022 18:45","49","n/e","n/e","n/e","3","n/e"
"10.04.2022 18:45 - 10.04.2022 19:00","39","n/e","n/e","n/e","3","n/e"
"10.04.2022 19:00 - 10.04.2022 19:15","29","n/e","n/e","n/e","2","n/e"
"10.04.2022 19:15 - 10.04.2022 19:30","20","n/e","n/e","n/e","2","n/e"
"10.04.2022 19:30 - 10.04.2022 19:45","12","n/e","n/e","n/e","2","n/e"
"10.04.2022 19:45 - 10.04.2022 20:00","6","n/e","n/e","n/e","2","n/e"
"10.04.2022 20:00 - 10.04.2022 20:15","2","n/e","n/e","n/e","2","n/e"
"10.04.2022 20:15 - 10.04.2022 20:30","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 20:30 - 10.04.2022 20:45","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 20:45 - 10.04.2022 21:00","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 21:00 - 10.04.2022 21:15","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 21:15 - 10.04.2022 21:30","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 21:30 - 10.04.2022 21:45","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 21:45 - 10.04.2022 22:00","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 22:00 - 10.04.2022 22:15","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 22:15 - 10.04.2022 22:30","0","n/e","n/e","n/e","2","n/e"
"10.04.2022 22:30 - 10.04.2022 22:45","0","n/e","n/e","n/e","3","n/e"
"10.04.2022 22:45 - 10.04.2022 23:00","0","n/e","n/e","n/e","3","n/e"
"10.04.2022 23:00 - 10.04.2022 23:15","0","n/e","n/e","n/e","3","n/e"
"10.04.2022 23:15 - 10.04.2022 23:30","0","n/e","n/e","n/e","3","n/e"
"10.04.2022 23:30 - 10.04.2022 23:45","0","n/e","n/e","n/e","4","n/e"
"10.04.2022 23:45 - 11.04.2022 00:00","0","n/e","n/e","n/e","4","n/e"
"11.04.2022 00:00 - 11.04.2022 00:15","0","n/e","n/e","n/e","7","n/e"
"11.04.2022 00:15 - 11.04.2022 00:30","0","n/e","n/e","n/e","7","n/e"
"11.04.2022 00:30 - 11.04.2022 00:45","0","n/e","n/e","n/e","8","n/e"
"11.04.2022 00:45 - 11.04.2022 01:00","0","n/e","n/e","n/e","8","n/e"
"11.04.2022 01:00 - 11.04.2022 01:15","0","n/e","n/e","n/e","13","n/e"
"11.04.2022 01:15 - 11.04.2022 01:30","0","n/e","n/e","n/e","14","n/e"
"11.04.2022 01:30 - 11.04.2022 01:45","0","n/e","n/e","n/e","14","n/e"
"11.04.2022 01:45 - 11.04.2022 02:00","0","n/e","n/e","n/e","15","n/e"
"11.04.2022 02:00 - 11.04.2022 02:15","0","n/e","n/e","n/e","23","n/e"
"11.04.2022 02:15 - 11.04.2022 02:30","0","n/e","n/e","n/e","24","n/e"
"11.04.2022 02:30 - 11.04.2022 02:45","0","n/e","n/e","n/e","24","n/e"
"11.04.2022 02:45 - 11.04.2022 03:00","0","n/e","n/e","n/e","25","n/e"
"11.04.2022 03:00 - 11.04.2022 03:15","0","n/e","n/e","n/e","32","n/e"
"11.04.2022 03:15 - 11.04.2022 03:30","0","n/e","n/e","n/e","32","n/e"
"11.04.2022 03:30 - 11.04.2022 03:45","0","n/e","n/e","n/e","33","n/e"
"11.04.2022 03:45 - 11.04.2022 04:00","0","n/e","n/e","n/e","34","n/e"
"11.04.2022 04:00 - 11.04.2022 04:15","0","n/e","n/e","n/e","37","n/e"
"11.04.2022 04:15 - 11.04.2022 04:30","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 04:30 - 11.04.2022 04:45","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 04:45 - 11.04.2022 05:00","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 05:00 - 11.04.2022 05:15","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 05:15 - 11.04.2022 05:30","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 05:30 - 11.04.2022 05:45","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 05:45 - 11.04.2022 06:00","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 06:00 - 11.04.2022 06:15","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 06:15 - 11.04.2022 06:30","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 06:30 - 11.04.2022 06:45","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 06:45 - 11.04.2022 07:00","0","n/e","n/e","n/e","38","n/e"
"11.04.2022 07:00 - 11.04.2022 07:15","3","n/e","n/e","n/e","39","n/e"
"11.04.2022 07:15 - 11.04.2022 07:30","9","n/e","n/e","n/e","39","n/e"
"11.04.2022 07:30 - 11.04.2022 07:45","17","n/e","n/e","n/e","39","n/e"
"11.04.2022 07:45 - 11.04.2022 08:00","27","n/e","n/e","n/e","39","n/e"
"11.04.2022 08:00 - 11.04.2022 08:15","37","n/e","n/e","n/e","39","n/e"
"11.04.2022 08:15 - 11.04.2022 08:30","49","n/e","n/e","n/e","39","n/e"
"11.04.2022 08:30 - 11.04.2022 08:45","62","n/e","n/e","n/e","39","n/e"
"11.04.2022 08:45 - 11.04.2022 09:00","76","n/e","n/e","n/e","38","n/e"
"11.04.2022 09:00 - 11.04.2022 09:15","91","n/e","n/e","n/e","34","n/e"
"11.04.2022 09:15 - 11.04.2022 09:30","106","n/e","n/e","n/e","33","n/e"
