"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"02.01.2022 17:45 - 02.01.2022 18:00","0","0","6072","6444","34422","34932"
"02.01.2022 18:00 - 02.01.2022 18:15","0","0","6101","6424","34507","34988"
"02.01.2022 18:15 - 02.01.2022 18:30","0","0","6132","6408","34539","35152"
"02.01.2022 18:30 - 02.01.2022 18:45","0","0","6160","6411","34568","34692"
"02.01.2022 18:45 - 02.01.2022 19:00","0","0","6191","6423","34583","34672"
"02.01.2022 19:00 - 02.01.2022 19:15","0","0","6210","6410","34598","34930"
"02.01.2022 19:15 - 02.01.2022 19:30","0","0","6236","6414","34519","34727"
"02.01.2022 19:30 - 02.01.2022 19:45","0","0","6257","6378","34442","33815"
"02.01.2022 19:45 - 02.01.2022 20:00","0","0","6281","6346","34323","33441"
"02.01.2022 20:00 - 02.01.2022 20:15","0","0","6329","6314","34178","33203"
"02.01.2022 20:15 - 02.01.2022 20:30","0","0","6324","6332","33977","32973"
"02.01.2022 20:30 - 02.01.2022 20:45","0","0","6322","6351","33847","32488"
"02.01.2022 20:45 - 02.01.2022 21:00","0","0","6319","6404","33716","31986"
"02.01.2022 21:00 - 02.01.2022 21:15","0","0","6316","6498","33587","31846"
"02.01.2022 21:15 - 02.01.2022 21:30","0","0","6313","6514","33457","31524"
"02.01.2022 21:30 - 02.01.2022 21:45","0","0","6307","6573","33318","31227"
"02.01.2022 21:45 - 02.01.2022 22:00","0","0","6301","6531","33125","30533"
"02.01.2022 22:00 - 02.01.2022 22:15","0","0","6298","6521","32341","29664"
"02.01.2022 22:15 - 02.01.2022 22:30","0","0","6305","6451","32096","29543"
"02.01.2022 22:30 - 02.01.2022 22:45","0","0","6311","6332","31983","29296"
"02.01.2022 22:45 - 02.01.2022 23:00","0","0","6316","6263","31846","29274"
"02.01.2022 23:00 - 02.01.2022 23:15","0","0","6324","6191","31698","28866"
"02.01.2022 23:15 - 02.01.2022 23:30","0","0","6343","6062","31618","28882"
"02.01.2022 23:30 - 02.01.2022 23:45","0","0","6364","6011","31538","28793"
"02.01.2022 23:45 - 03.01.2022 00:00","0","0","6377","5926","31431","28789"
"03.01.2022 00:00 - 03.01.2022 00:15","0","0","6291","5850","30241","27496"
"03.01.2022 00:15 - 03.01.2022 00:30","0","0","6377","6044","30266","27730"
"03.01.2022 00:30 - 03.01.2022 00:45","0","0","6456","6307","30226","27891"
"03.01.2022 00:45 - 03.01.2022 01:00","0","0","6368","6515","30157","27987"
"03.01.2022 01:00 - 03.01.2022 01:15","0","0","6323","6342","30073","27874"
"03.01.2022 01:15 - 03.01.2022 01:30","0","0","6349","6334","30138","27732"
"03.01.2022 01:30 - 03.01.2022 01:45","0","0","6375","6308","30335","27508"
"03.01.2022 01:45 - 03.01.2022 02:00","0","0","6396","6220","30558","27274"
"03.01.2022 02:00 - 03.01.2022 02:15","0","0","6412","6194","30773","27090"
"03.01.2022 02:15 - 03.01.2022 02:30","0","0","6427","6060","31006","27952"
"03.01.2022 02:30 - 03.01.2022 02:45","0","0","6430","6006","31234","28231"
"03.01.2022 02:45 - 03.01.2022 03:00","0","0","6436","5932","31466","27770"
